검색카테고리,id,place_name,category_name,세부분류,착한가격업소여부,category_group_code,category_group_name,phone,address_name,road_address_name,x,y,place_url,법정동코드,법정동명,법정동_시도,법정동_시군구,법정동_읍면동,법정동_리,행정동코드,행정동명,행정동_시도,행정동_시군구,행정동_읍면동,수집시각
카페,1568390015,cafe363,음식점 > 카페,일반카페,0,CE7,카페,,경기 시흥시 대야동 483-5,경기 시흥시 호현로49번안길 1,126.784299271203,37.4447070817609,http://place.map.kakao.com/1568390015,4139010100,경기도 시흥시 대야동,경기도,시흥시,대야동,,4139051000,경기도 시흥시 대야동,경기도,시흥시,대야동,2026-08-11T23:50:11+09:00
카페,342757630,가든인오븐,음식점 > 카페,일반카페,0,CE7,카페,,경기 시흥시 대야동 562-5,경기 시흥시 비둘기공원로 21,126.792172233376,37.4439535244818,http://place.map.kakao.com/342757630,4139010100,경기도 시흥시 대야동,경기도,시흥시,대야동,,4139051000,경기도 시흥시 대야동,경기도,시흥시,대야동,2026-08-11T23:50:11+09:00
카페,858662070,감성커피 시흥센트럴푸르지오점,음식점 > 카페 > 커피전문점 > 감성커피,일반카페,0,CE7,카페,031-311-4866,경기 시흥시 대야동 693,경기 시흥시 수인로3312번길 16,126.7886328612214,37.4399557586847,http://place.map.kakao.com/858662070,4139010100,경기도 시흥시 대야동,경기도,시흥시,대야동,,4139051000,경기도 시흥시 대야동,경기도,시흥시,대야동,2026-08-11T23:50:11+09:00
카페,237767359,기다림,음식점 > 카페,일반카페,0,CE7,카페,,경기 시흥시 대야동 496-4,경기 시흥시 호현로40번길 6,126.78568907711333,37.4435779376375,http://place.map.kakao.com/237767359,4139010100,경기도 시흥시 대야동,경기도,시흥시,대야동,,4139051000,경기도 시흥시 대야동,경기도,시흥시,대야동,2026-08-11T23:50:11+09:00
카페,15810764,낭만시대,음식점 > 카페,일반카페,0,CE7,카페,031-313-7089,경기 시흥시 대야동 541-2,경기 시흥시 비둘기공원6길 13-1,126.791492226783,37.4422223813771,http://place.map.kakao.com/15810764,4139010100,경기도 시흥시 대야동,경기도,시흥시,대야동,,4139051000,경기도 시흥시 대야동,경기도,시흥시,대야동,2026-08-11T23:50:11+09:00
카페,766412829,늘솜당,음식점 > 카페 > 테마카페 > 디저트카페,일반카페,0,CE7,카페,031-404-0950,경기 시흥시 대야동 1-173,경기 시흥시 하우로122번길 50-3,126.784421822192,37.4709123063367,http://place.map.kakao.com/766412829,4139010100,경기도 시흥시 대야동,경기도,시흥시,대야동,,4139051000,경기도 시흥시 대야동,경기도,시흥시,대야동,2026-08-11T23:50:11+09:00
카페,1879519657,달리는커피 시흥대야점,음식점 > 카페 > 커피전문점 > 달리는커피,일반카페,0,CE7,카페,070-7802-8300,경기 시흥시 대야동 541-1,경기 시흥시 비둘기공원6길 13,126.791291915692,37.4423292484321,http://place.map.kakao.com/1879519657,4139010100,경기도 시흥시 대야동,경기도,시흥시,대야동,,4139051000,경기도 시흥시 대야동,경기도,시흥시,대야동,2026-08-11T23:50:11+09:00
카페,846971797,달콩,음식점 > 카페,일반카페,0,CE7,카페,,경기 시흥시 대야동 543-1,경기 시흥시 비둘기공원7길 33,126.792746635534,37.4430120732745,http://place.map.kakao.com/846971797,4139010100,경기도 시흥시 대야동,경기도,시흥시,대야동,,4139051000,경기도 시흥시 대야동,경기도,시흥시,대야동,2026-08-11T23:50:11+09:00
카페,1621226104,달쿠쿠,음식점 > 카페,일반카페,0,CE7,카페,0507-1308-8069,경기 시흥시 대야동 1-110,경기 시흥시 하우로 181-4,126.78215643583093,37.47128567435874,http://place.map.kakao.com/1621226104,4139010100,경기도 시흥시 대야동,경기도,시흥시,대야동,,4139051000,경기도 시흥시 대야동,경기도,시흥시,대야동,2026-08-11T23:50:11+09:00
카페,1396032380,더리터24 시흥대야점,음식점 > 카페 > 테마카페 > 무인카페 > 더리터24,일반카페,0,CE7,카페,1688-5424,경기 시흥시 대야동 693,경기 시흥시 수인로3312번길 16,126.78857844960575,37.44001693029338,http://place.map.kakao.com/1396032380,4139010100,경기도 시흥시 대야동,경기도,시흥시,대야동,,4139051000,경기도 시흥시 대야동,경기도,시흥시,대야동,2026-08-11T23:50:11+09:00
