기관유형,기관명,상위기관,경찰서,주소,원본파일명
경찰서,시흥경찰서,경기도남부경찰청,시흥경찰서,시흥시 황고개로513,경찰청_전국 경찰서 명칭 및 주소_20230627.csv
지구대,장곡,경기남부청,시흥경찰서,경기도 시흥시 장곡로 54번길 25-14,경찰청_전국 지구대 파출소 주소 현황_20251231.csv
지구대,옥구,경기남부청,시흥경찰서,경기도 시흥시 정왕대로 118번길 1,경찰청_전국 지구대 파출소 주소 현황_20251231.csv
지구대,정왕,경기남부청,시흥경찰서,경기도 시흥시 정왕신길로 216,경찰청_전국 지구대 파출소 주소 현황_20251231.csv
지구대,은행,경기남부청,시흥경찰서,경기도 시흥시 은행로 148,경찰청_전국 지구대 파출소 주소 현황_20251231.csv
파출소,군자,경기남부청,시흥경찰서,경기도 시흥시 군자로 513,경찰청_전국 지구대 파출소 주소 현황_20251231.csv
파출소,매화,경기남부청,시흥경찰서,경기도 시흥시 매화로 36,경찰청_전국 지구대 파출소 주소 현황_20251231.csv
파출소,신천,경기남부청,시흥경찰서,경기도 시흥시 신천로 100번안길 15,경찰청_전국 지구대 파출소 주소 현황_20251231.csv
파출소,대야,경기남부청,시흥경찰서,경기도 시흥시 호현로 42,경찰청_전국 지구대 파출소 주소 현황_20251231.csv
파출소,시화,경기남부청,시흥경찰서,경기도 시흥시 중심상가로 271,경찰청_전국 지구대 파출소 주소 현황_20251231.csv
파출소,능곡,경기남부청,시흥경찰서,경기도 시흥시 장현능곡로 211,경찰청_전국 지구대 파출소 주소 현황_20251231.csv
파출소,목감,경기남부청,시흥경찰서,경기도 시흥시 목감우회로 17-6,경찰청_전국 지구대 파출소 주소 현황_20251231.csv
지구대,배곧,경기남부청,시흥경찰서,경기도 시흥시 서울대학로 264번길 50,경찰청_전국 지구대 파출소 주소 현황_20251231.csv
