개방자치단체코드,관리번호,안전비상벨관리번호,설치목적,설치장소유형,설치위치,소재지도로명주소,소재지지번주소,WGS84위도,WGS84경도,연계방식,경찰연계유무,경비업체연계유무,관리사무소연계유무,부가기능,안전비상벨설치연도,최종점검일자,최종점검결과구분,관리기관명,관리기관전화번호,데이터기준일자,데이터갱신구분,데이터갱신시점,최종수정시점,학교급
4010000,202640100000901852,A-0001,방범용,기타,원광어린이집,,경기도 시흥시 정왕동 1208-8,37.3465898,126.7464912,양방향,N,N,N,,2006,2025-12-31,Y,경기도 시흥시청,031-310-6763,2026-01-22,I,2026-05-15 18:45:47,2026-03-09 15:57:09,
4010000,202640100000901853,A-0002,방범용,기타,은혜문교회(1191),,경기도 시흥시 정왕동 1191,37.3461928,126.7511372,양방향,N,N,N,,2006,2025-12-31,Y,경기도 시흥시청,031-310-6763,2026-01-22,I,2026-05-15 18:45:47,2026-03-09 15:57:09,
4010000,202640100000901854,A-0003,방범용,기타,시화교회(1168-13),,경기도 시흥시 정왕동 1168-13,37.3468963,126.7530905,양방향,N,N,N,,2006,2025-12-31,Y,경기도 시흥시청,031-310-6763,2026-01-22,I,2026-05-15 18:45:47,2026-03-09 15:57:09,
4010000,202640100000901855,A-0004,방범용,기타,행복마트 앞 삼거리,,경기도 시흥시 정왕동 1508-1,37.345195,126.754536,양방향,N,N,N,,2006,2025-12-31,Y,경기도 시흥시청,031-310-6763,2026-01-22,I,2026-05-15 18:45:47,2026-03-09 15:57:09,
4010000,202640100000901856,A-0005,방범용,기타,새힘교회 뒤쪽 골목 엘지슈퍼 근처,,경기도 시흥시 정왕동 1530-5,37.3428165,126.7555771,양방향,N,N,N,,2006,2025-12-31,Y,경기도 시흥시청,031-310-6763,2026-01-22,I,2026-05-15 18:45:47,2026-03-09 15:57:09,
4010000,202640100000901857,A-0006,방범용,기타,푸른솔어린이집,,경기도 시흥시 정왕동 1205,37.3467134,126.7479168,양방향,N,N,N,,2008,2025-12-31,Y,경기도 시흥시청,031-310-6763,2026-01-22,I,2026-05-15 18:45:47,2026-03-09 15:57:09,
4010000,202640100000901858,A-0007,방범용,기타,제일할인마트 앞 사거리,,경기도 시흥시 정왕동 1214-6,37.34405,126.750354,양방향,N,N,N,,2008,2025-12-31,Y,경기도 시흥시청,031-310-6763,2026-01-22,I,2026-05-15 18:45:47,2026-03-09 15:57:09,
4010000,202640100000901859,A-0008,방범용,기타,시화중학교 위 공원 스마일 마트 근처,,경기도 시흥시 정왕동 1543-9,37.3418467,126.7565174,양방향,N,N,N,,2008,2025-12-31,Y,경기도 시흥시청,031-310-6763,2026-01-22,I,2026-05-15 18:45:47,2026-03-09 15:57:09,중학교
4010000,202640100000901860,A-0009,방범용,기타,중앙마트 인근,,경기도 시흥시 정왕동 1548-5,37.3416328,126.7544117,양방향,N,N,N,,2008,2025-12-31,Y,경기도 시흥시청,031-310-6763,2026-01-22,I,2026-05-15 18:45:47,2026-03-09 15:57:09,
4010000,202640100000901861,A-0010,방범용,기타,태형하이빌 옆,,경기도 시흥시 정왕동 1401-1,37.339972,126.7545579,양방향,N,N,N,,2008,2025-12-31,Y,경기도 시흥시청,031-310-6763,2026-01-22,I,2026-05-15 18:45:47,2026-03-09 15:57:09,
