시설종류,대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자,학교급
유치원,세종유치원,경기도 시흥시 인선길 56,경기도 시흥시 장곡동 807,37.37757064,126.7824492,경기도 시흥시청,시흥경찰서,N,0,10,2026-04-01,
어린이집,큰별어린이집,경기도 시흥시 장곡로54번길 43-3,경기도 시흥시 장곡동 794-5,37.3822147,126.7820083,경기도 시흥시청,시흥경찰서,Y,1,5,2026-04-01,
초등학교,포리초등학교,경기도 시흥시 신현로202번길 31 (포동),경기도 시흥시 포동 20-17,37.4057081,126.7711906,경기도 시흥시청,시흥경찰서,Y,3,6,2026-04-01,초등학교
어린이집,시립신현어린이집,경기도 시흥시 신현로 46(포동),경기도 시흥시 포동 20-33,37.40618021,126.7846103,경기도 시흥시청,시흥경찰서,Y,1,7,2026-04-01,
유치원,해오름유치원,경기도 시흥시 신현로38번길 15(포동),경기도 시흥시 포동 13-3,37.40681377,126.7841945,경기도 시흥시청,시흥경찰서,Y,1,8,2026-04-01,
어린이집,환희어린이집,경기도 시흥시 신현로12번길 27(포동),경기도 시흥시 포동 3-35,37.40840802,126.7848956,경기도 시흥시청,시흥경찰서,Y,3,7,2026-04-01,
초등학교,승지초등학교,경기도 시흥시 승지로 110 (능곡동),경기도 시흥시 능곡동 550,37.3723641,126.8127388,경기도 시흥시청,시흥경찰서,Y,2,16,2026-04-01,초등학교
초등학교,능곡초등학교,경기도 시흥시 능곡중앙로 22 (능곡동),경기도 시흥시 능곡동 797,37.3652526,126.812928,경기도 시흥시청,시흥경찰서,Y,2,16,2026-04-01,초등학교
어린이집,오즈어린이집,경기도 시흥시 장현능곡로 219 (능곡동),경기도 시흥시 능곡동 620,37.36861896,126.8147221,경기도 시흥시청,시흥경찰서,Y,3,12,2026-04-01,
유치원,모아유치원,경기도 시흥시 승지로 104 (능곡동),경기도 시흥시 능곡동 547,37.3727385,126.8116139,경기도 시흥시청,시흥경찰서,Y,1,20,2026-04-01,
초등학교,군서미래국제학교,경기도 시흥시 봉우재로 37번길 5(정왕동),경기도 시흥시 정왕동 1605,37.34624108,126.7432517,경기도 시흥시청,시흥경찰서,N,0,30,2026-04-01,초등학교
초등학교,시화나래초등학교,경기도 시흥시 거북섬남로 70(정왕동),,37.32465657,126.6785656,경기도 시흥시청,시흥경찰서,Y,2,20,2026-04-01,초등학교
초등학교,배곧라라초등학교,경기도 시흥시 서울대학로 255(배곧동),경기도 시흥시 배곧동 189,37.3693389,126.7230306,경기도 시흥시청,시흥경찰서,Y,1,30,2026-04-01,초등학교
어린이집,성심예아뜨어린이집,경기도 시흥시 매화1로32번길 22(매화동),경기도 시흥시 매화동 247-3,37.4160604,126.8130141,경기도 시흥시청,시흥경찰서,Y,3,4,2026-04-01,
어린이집,참뜰어린이집,경기도 시흥시 매화2로48번길 12(매화동),경기도 시흥시 매화동 350-5,37.4160696,126.8089571,경기도 시흥시청,시흥경찰서,Y,3,4,2026-04-01,
초등학교,연성초등학교,경기도 시흥시 나분들길 44 (광석동),경기도 시흥시 광석동 89-2,37.38797493,126.8183219,경기도 시흥시청,시흥경찰서,Y,2,12,2026-04-01,초등학교
초등학교,하중초등학교,경기도 시흥시 하중로209번길 10 (하중동),경기도 시흥시 하중동 863,37.39320831,126.8071006,경기도 시흥시청,시흥경찰서,Y,2,6,2026-04-01,초등학교
초등학교,장현초등학교,경기도 시흥시 시청로80번길 5 (장현동),경기도 시흥시 장현동 169-6,37.38175923,126.7991029,경기도 시흥시청,시흥경찰서,Y,1,6,2026-04-01,초등학교
유치원,해맑은유치원,경기도 시흥시 시청로 77 (장현동),경기도 시흥시 장현동 540,37.38090115,126.7989245,경기도 시흥시청,시흥경찰서,Y,1,14,2026-04-01,
어린이집,예인어린이집,경기도 시흥시 하중로231번길 11 (하중동),경기도 시흥시 하중동 871-6,37.3916266,126.8073878,경기도 시흥시청,시흥경찰서,Y,1,6,2026-04-01,
어린이집,고은별어린이집,경기도 시흥시 상직길 47 (하상동),경기도 시흥시 하상동 378-4,37.39050713,126.8150326,경기도 시흥시청,시흥경찰서,Y,1,6,2026-04-01,
초등학교,시흥가온초등학교,경기도 시흥시 장현능곡로 33,경기도 시흥시 장현동 428-1,37.37369862,126.7943033,경기도 시흥시청,시흥경찰서,Y,1,18,2026-04-01,초등학교
유치원,시흥가온유치원,경기도 시흥시 장현서1길 4,경기도 시흥시 장현동 437,37.37205845,126.7952681,경기도 시흥시청,시흥경찰서,N,0,6,2026-04-01,
유치원,빛가람유치원,경기도 시흥시 장현장곡로 37,경기도 시흥시 장현동 574,37.3803786,126.7926739,경기도 시흥시청,시흥경찰서,N,0,6,2026-04-01,
초등학교,진말초등학교,경기도 시흥시 황고개로 567 (장곡동),경기도 시흥시 장곡동 827,37.38051832,126.7881449,경기도 시흥시청,시흥경찰서,Y,4,7,2026-04-01,초등학교
초등학교,장곡초등학교,경기도 시흥시 장곡로70번길 12 (장곡동),경기도 시흥시 장곡동 797,37.3814007,126.7819639,경기도 시흥시청,시흥경찰서,Y,2,4,2026-04-01,초등학교
