librry_nm,sido_nm,signgu_nm,librry_type_nm,close_day_info,opr_bgng_hr,opr_end_hr,temp_1_cont,temp_2_cont,temp_3_cont,temp_cont,read_seat_cnt,book_data_cnt,contuatn_publctn_data_cnt,nonbook_data_cnt,loan_posbl_volm_cnt,loan_posbl_day_cnt,refine_road_nm_addr,opr_inst_nm,librry_telno,plot_ar,buldng_ar,hmpg_addr,refine_wgs84_lat,refine_wgs84_logt,dat_crtr_ymd,sigun_nm
가평군 한석봉도서관,경기도,가평군,공공도서관,1월 1일+설 연휴+대통령 선거일+추석연휴,07:00,23:59,07:00,23:59,07:00,23:59,119,139392,43,5563,7,14,경기도 가평군 가평읍 문화로 187,경기도 가평군,031-580-4041,7485.0,3602.0,www.gaplib.go.kr,37.829691,127.506433,20250530,가평군
가평군 설악도서관,경기도,가평군,공공도서관,1월 1일+설 연휴+대통령 선거일+추석연휴,07:00,23:59,07:00,23:59,07:00,23:59,97,68862,42,1615,7,14,경기도 가평군 설악면 자잠로 65 가평설악도서관,경기도 가평군,031-580-4313,3693.0,1470.0,www.gaplib.go.kr,37.683315,127.491015,20250530,가평군
가평군 청평도서관,경기도,가평군,공공도서관,1월 1일+설 연휴+대통령 선거일+추석연휴,07:00,23:59,07:00,23:59,07:00,23:59,110,79496,39,1452,7,14,경기도 가평군 청평면 은고개로 31,경기도 가평군,031-580-4332,4500.0,2486.0,www.gaplib.go.kr,37.739591,127.42423,20250530,가평군
가평군 조종도서관,경기도,가평군,공공도서관,1월 1일+설 연휴+대통령 선거일+추석연휴,07:00,23:59,07:00,23:59,07:00,23:59,72,76583,40,1999,7,14,경기도 가평군 조종면 조종희망로 26번길22,경기도 가평군,031-580-4303,2692.0,1502.0,www.gaplib.go.kr,37.81829,127.352981,20250530,가평군
식사도서관,경기도,고양시,공공도서관,금+법정공휴일(일요일 제외),07:00,23:00,07:00,23:00,07:00,23:00,194,96968,91,1914,7,14,경기도 고양시 일산동구 위시티2로 43-6(식사동),경기도 고양시청,031-8075-9190,2400.0,3775.72,https://www.goyanglib.or.kr/MM/index.do,37.67608444,126.815973,20250328,고양시
한뫼도서관,경기도,고양시,공공도서관,금+법정공휴일(일요일 제외),07:00,23:00,07:00,23:00,07:00,23:00,134,135202,99,1964,7,14,경기도 고양시 일산서구 탄중로 284(일산동),경기도 고양시청,031-8075-9115,26167.0,4159.54,https://www.goyanglib.or.kr/MK/index.do,37.693557,126.776259,20250328,고양시
행신어린이도서관,경기도,고양시,어린이도서관,금+법정공휴일(일요일 제외),09:00,18:00,09:00,18:00,09:00,18:00,0,101927,30,970,7,14,경기도 고양시 덕양구 소원로181번길 42(행신동),경기도 고양시청,031-8075-9278,1050.5,1687.72,https://www.goyanglib.or.kr/MH/index.do,37.614791,126.843466,20250328,고양시
높빛도서관,경기도,고양시,공공도서관,금+법정공휴일(일요일 제외),09:00,22:00,09:00,18:00,09:00,22:00,0,54534,88,292,7,14,경기도 고양시 덕양구 푸른마을로 34-8(고양동),경기도 고양시청,031-8075-9400,1239.0,2875.0,https://www.goyanglib.or.kr/MV/index.do,37.71011678,126.9053031047,20250328,고양시
덕이도서관,경기도,고양시,공공도서관,월+법정공휴일(일요일 제외),07:00,23:00,07:00,23:00,07:00,23:00,168,90711,76,1734,7,14,경기도 고양시 일산서구 하이파크로 128(덕이동),경기도 고양시청,031-8075-9320,45821.6,2956.88,https://www.goyanglib.or.kr/MN/index.do,37.702949,126.754554,20250328,고양시
대화도서관,경기도,고양시,공공도서관,월+법정공휴일(일요일 제외),07:00,23:00,07:00,23:00,07:00,23:00,190,147822,155,1744,7,14,경기도 고양시 일산서구 일산로 689(대화동),경기도 고양시청,031-8075-9130,3944.0,788.0,https://www.goyanglib.or.kr/MJ/index.do,37.68102176,126.753942,20250328,고양시
대덕작은도서관,경기도,고양시,작은도서관,토+일+법정공휴일,09:00,18:00,00:00,00:00,00:00,00:00,0,12287,10,150,5,14,경기도 고양시 덕양구 덕은로 34(덕은동),경기도 고양시 대덕동 주민자치위원회,02-3159-8501,118.0,118.0,https://blog.naver.com/tjftjftjf011,37.58710092,126.876666,20250328,고양시
