bizplc_nm,licensg_ymd,licensg_rtrcn_ymd,bsn_state_div,bsn_state_nm,clsbiz_ymd,locplc_faclt_telno_dtls,roadnm_zipno,refine_road_nm_addr,refine_lotno_addr,refine_zipno,refine_wgs84_lat,refine_wgs84_logt,bizcond_div_nm_info,xcrd_vl,ycrd_vl,cultur_phstrn_indutype_nm,cultur_bizman_div_nm,region_div_nm,tot_floor_cnt,circumfr_envrn_nm,buldng_purpos_nm,ground_floor_cnt,bsmnt_floor_cnt,ship_tot_tonge,ship_spec_cont,mtngrm_atstm_aceptnc_psncnt,playfaclt_cnt,infodesk_extno,subfaclt_info
문예회관,20030122,20191230,31,등록취소,,031-678-2590,,경기도 안성시 보개면 종합운동장로 205,경기도 안성시 보개면 양복리 238-1,456872,37.0150533641,127.3225016593,,228689.881130324,390413.061225726,공연장,공연장,,4,기타,문화시설,3,1,,,,,,
푸른 소극장,20030616,,31,등록취소,,26812069,,경기도 광명시 안양천로 309 (철산동),경기도 광명시 철산동 449-3,423838,37.4756740425,126.8748869352,,188860.712169194,441505.214099807,공연장,공연장,,,,,,1,,,,,,
(재)경기영어마을,20060329,,31,등록취소,,031-956-2137,,경기도 파주시 탄현면 얼음실로 40,경기도 파주시 탄현면 법흥리 1779,413841,37.7852855891,126.7010077217,,173835.523422965,475901.687664125,공연장,공연장,관리지역,2,기타,기타,2,,,,,,,
동춘곡예단(서커스),20100429,20110722,31,등록취소,,02-452-3112,,,경기도 과천시 주암동 685 경마공원내 지상주차장 일부구역,427711,,,,201414.290510998,438412.741689539,공연장,공연장,녹지지역,1,기타,기타,1,0,,,,,,
(주)제이유,20170621,,13,영업중,,031-405-5330,15470,"경기도 안산시 단원구 광덕대로 174, 월드타운 D동 414호 (고잔동)",경기도 안산시 단원구 고잔동 768 월드타운,15470,37.3119260049,126.8310374164,,184950.901558918,423341.352360613,공연장,공연장,,,,근린생활시설,,1,,,,,,
아트밸리 산마루 공연장,20171124,,13,영업중,,031-535-5012,11139,경기도 포천시 신북면 아트밸리로 234,경기도 포천시 신북면 기지리 282,11139,37.9234463151,127.2364959881,,221000.118732421,491240.37049837,공연장,공연장,,,,,,,,,,,,
호수공연장,20211006,,13,영업중,,031-535-5012,11139,경기도 포천시 신북면 아트밸리로 234,경기도 포천시 신북면 기지리 282,11139,37.9234463151,127.2364959881,,221000.118732421,491240.37049837,공연장,공연장,,,,,,,,,,,,
올림픽기념국민생활관,20021227,,13,영업중,,031-481-2751,,경기도 안산시 단원구 적금로 202 (고잔동),경기도 안산시 단원구 고잔동 604,425803,37.3263317226,126.8281556486,,184633.83401409,424906.574081429,공연장,공연장,일반주거지역,4,주택가주변,문화시설,3,1,,,,,,
달맞이극장,20040921,,13,영업중,,031-481-4000,,경기도 안산시 단원구 화랑로 312 (고잔동),경기도 안산시 단원구 고잔동 817,425906,37.3184603572,126.8230002961,,184197.712451636,424213.914504418,공연장,공연장,주거지역,,유흥업소밀집지역,문화시설,,,,,,,,
별무리극장,20040921,,13,영업중,,031-481-4000,,경기도 안산시 단원구 화랑로 312 (고잔동),경기도 안산시 단원구 고잔동 817,425906,37.3184603572,126.8230002961,,184197.712451636,424213.914504418,공연장,공연장,주거지역,,기타,문화시설,,,,,,,,
