indutype_nm,cmpnm_nm,signgu_nm,emd_nm,roadnm_addr,lotno_addr,detail_addr,rprs_telno_info,opr_hr_info,sat_opr_hr,sun_opr_hr,restday_info,image_nm,dat_crtr_ymd,refine_wgs84_lat,refine_wgs84_logt
동물미용업,아띠펫살롱,성남시 분당구,대장동,경기도 성남시 분당구 판교대장로5길 20 상가112호 (대장동),경기도 성남시 분당구 대장동 299번지,,031-608-8577,,,,,313102368070_1.jpeg,20221205,37.3641254843,127.069837293
동물미용업,애견용품 할인마트(버블멍 송내점),부천시,송내동,경기도 부천시 송내대로30번길 21 (송내동),경기도 부천시 송내동 299-9,1층,0507-1360-0528,10:00~21:00,10:00~21:00,10:00~21:00,연중무휴,313105092031_1.jpeg,20221103,37.4867761574,126.754770437
동물미용업,다둥이펫,파주시,조리읍,경기도 파주시 조리읍 대원로 195,경기도 파주시 조리읍 대원리 645-2,,031-941-3655,10:00~18:00,10:00~18:00,10:00~18:00,월요일,313120015012_1.jpeg,20221109,37.7346826344,126.80419092
동물미용업,샤도캣,안산시 단원구,초지동,경기도 안산시 단원구 광덕1로 80 1층 샤도캣,경기도 안산시 단원구 초지동 731번지,,0507-1406-4343,10:00~18:00,10:00~18:00,10:00~18:00,연중무휴,313109266002_1.jpeg,20221026,37.3044516717,126.8180707097
동물미용업,올라펫살롱,광주시,초월읍,경기도 광주시 초월읍 경충대로 1033-10,경기도 광주시 초월읍 쌍동리 181-8번지,1층,0507-1415-1624,10:00~19:00,10:00~19:00,10:00~19:00,수요일,313125012053_1.jpeg,20221118,37.3708872966,127.3007388613
동물미용업,도그런살롱,광주시,오포읍,경기도 광주시 오포읍 새말길 203-4,경기도 광주시 오포읍 신현리 538번지,1층,031-8022-8059,10:00~19:00,10:00~19:00,10:00~19:00,월요일,313125011041_1.jpeg,20221120,37.3758328199,127.1639573128
동물위탁관리업,양주24시해든동물의료센터,양주시,광사동,경기도 양주시 부흥로 1938 오션타워 2층,경기도 양주시 광사동 652-1 오션타워 2층,2층,0507-1436-9112,10:00~22:00,10:00~22:00,10:00~22:00,,323126052010_1.jpeg,20221123,37.7949277108,127.0781419351
동물미용업,멍블랑,파주시,조리읍,경기 파주시 조리읍 봉천로 38-12 102호,경기도 파주시 조리읍 봉일천리 205-15,,0507-1471-4563,10:00~20:00,10:00~20:00,10:00~20:00,연중무휴,313120015021_1.jpeg,20221109,37.7441403159,126.807745844
동물미용업,골든캐슬,고양시 일산동구,백석동,경기도 고양시 일산동구 강송로113번길 54-9 1층,경기도 고양시 일산동구 백석동 1200-1,1층,0507-1443-5003,10:00~19:00,10:00~19:00,10:00~19:00,연중무휴,313110355064_1.jpeg,20221110,37.647719853,126.7840434457
동물위탁관리업,아름동물병원,성남시 분당구,이매동,경기도 성남시 분당구 성남대로779번길 52 신흥코아 (이매동),경기도 성남시 분당구 이매동 137-4번지,102호,031-706-7595,,,,,323102361034_1.jpeg,20221124,37.3994961506,127.1228162422
동물위탁관리업,오몽 애견미용실,의정부시,녹양동,경기도 의정부시 녹양동 405,경기도 의정부시 본원로 40 4단지 상가동 1층,1층,0507-1440-0169,11:00~19:00,11:00~19:00,휴무,"일요일,공휴일",323103064020_1.jpeg,20221123,37.7619333465,127.0403530121
동물미용업,우리애견,포천시,소흘읍,경기 포천시 소흘읍 솔모루로92번길 8,경기도 포천시 소흘읍 송우리 110-57,1층,031-544-0027,10:00~20:30,,10:00~20:00,토요일,313127011003_1.jpeg,20221205,37.8288405676,127.148436371
동물위탁관리업,마이펫 가든&스토어,안산시 상록구,본오동,경기도 안산시 상록구 본오로 87-1 1~2층,경기도 안산시 상록구 본오동 862-12번지,,031-432-7776,10:00~20:50,10:00~20:50,10:00~20:50,연중무휴,323109154005_1.jpeg,20221101,37.2929203785,126.8662482839
동물미용업,캣츠앤독스,오산시,궐동,"경기도 오산시 궐리사로 31, 619-1, 103호 (궐동)",경기도 오산시 궐동 619-1 103호,,031-375-8254,10:00~21:00,10:00~21:00,10:00~21:00,연중무휴,313114053006_1.jpeg,20221028,37.1604046814,127.0561840694
동물미용업,몽발소,수원시 권선구,권선동,"경기도 수원시 권선구 권중로 110, 후문상가 1층 3호 (권선동, 보성,유원아파트)","경기도 수원시 권선구 권선동 1265 보성,유원아파트",,031-233-5800,10:30~19:00,10:30~19:00,10:30~19:00,연중무휴,313101264027_1.jpeg,20221205,37.2489996965,127.0294601281
동물미용업,HAPPYDOG,의정부시,의정부동,경기도 의정부시 평화로 223,경기도 의정부시 의정부동 454-13번지,,031-873-2786,,,,,313103055100_1.jpeg,20220823,37.7117565753,127.047311606
동물미용업,마미손애견샵,성남시 수정구,고등동,경기도 성남시 수정구 청계산로1길 21,경기도 성남시 수정구 고등동 594-2번지,1층,***-****-****,10:00~16:00,10:00~16:00,10:00~16:00,,313102165007_1.jpeg,20221205,37.4284463816,127.0949908755
동물위탁관리업,도그카페,안산시 상록구,부곡동,경기도 안산시 상록구 부곡로 115 부곡웨스턴빌딩,경기도 안산시 상록구 부곡동 666-4번지 부곡웨스턴빌딩,,0507-1413-9489,10:00~19:00,10:00~17:00,10:00~17:00,연중무휴,323109157006_1.jpeg,20221117,37.3324190545,126.8629252654
동물미용업,댕댕이발소,연천군,전곡읍,경기 연천군 전곡읍 은전로78번길 92 1층103호,경기도 연천군 전곡읍 전곡리 306-3 제일상가,1층,0507-1359-5568,10:00~19:00,10:00~19:00,,일요일,313135012001_1.jpeg,20221025,38.0243953279,127.0699023616
동물위탁관리업,아롱펫샵,안산시 단원구,원곡동,경기도 안산시 단원구 원선로 61,경기도 안산시 단원구 원곡동 826-9번지 101호 아롱펫샵,,0507-1417-7818,10:00~19:00,10:00~19:00,10:00~19:00,일요일,323109276026_1.jpeg,20221103,37.3300195956,126.798853718
