시흥 특징형 카페 목록,,,,,,,,,,,,,
선정 기준: 북·만화·보드게임·키즈·반려동물·갤러리·라이브 및 기타 테마카페 (일반 디저트·무인카페 제외),,,,,,,,,,,,,
총 47곳 · 북카페 4 · 만화카페 5 · 보드게임카페 5 · 키즈카페 23 · 반려동물카페 4 · 갤러리카페 1 · 라이브카페 1 · 기타 테마카페 4,,,,,,,,,,,,,
분류,id,place_name,category_name,category_group_code,category_group_name,address_name,road_address_name,phone,x,y,place_url,검색카테고리,검색기준지점
북카페,2009415113,리네카페,음식점 > 카페 > 테마카페 > 북카페,CE7,카페,경기 시흥시 목감동 420-2,경기 시흥시 배미골길 10-13,031-405-3583,126.86426440,37.38291157,http://place.map.kakao.com/2009415113,카페,목감
북카페,1939934716,세끝북카페,음식점 > 카페 > 테마카페 > 북카페,CE7,카페,경기 시흥시 정왕동 2709,경기 시흥시 거북섬중앙로 1,010-8945-9718,126.68337735,37.32565870,http://place.map.kakao.com/1939934716,카페,거북섬
북카페,327571549,세상의끝에서 북카페,음식점 > 카페 > 테마카페 > 북카페,CE7,카페,경기 시흥시 정왕동 2709,경기 시흥시 거북섬중앙로 1,,126.68296104,37.32538457,http://place.map.kakao.com/327571549,카페,거북섬
북카페,2050049688,킨더북카페,음식점 > 카페,CE7,카페,경기 시흥시 산현동 506-3,경기 시흥시 산현마을길 50,070-7799-0918,126.84614232,37.37657321,http://place.map.kakao.com/2050049688,카페,목감
만화카페,274859495,마음산책,"가정,생활 > 여가시설 > 만화방 > 만화카페",CE7,카페,경기 시흥시 목감동 408,경기 시흥시 목감우회로 51,031-405-3583,126.86228056,37.38226865,http://place.map.kakao.com/274859495,카페,목감
만화카페,2027688577,벌툰 몽유도원 시흥정왕점,"가정,생활 > 여가시설 > 만화방 > 만화카페 > 벌툰",CE7,카페,경기 시흥시 정왕동 1737-16,경기 시흥시 중심상가3길 15-1,070-4403-6509,126.73666180,37.34456852,http://place.map.kakao.com/2027688577,카페,정왕
만화카페,1181282520,벌툰 파리지앵 시흥능곡점,"가정,생활 > 여가시설 > 만화방 > 만화카페 > 벌툰",CE7,카페,경기 시흥시 능곡동 211-3,경기 시흥시 능곡번영길 25,031-311-7880,126.80727990,37.36941980,http://place.map.kakao.com/1181282520,카페,능곡
만화카페,1664009078,벌툰 파리지앵 시흥은계점,"가정,생활 > 여가시설 > 만화방 > 만화카페 > 벌툰",CE7,카페,경기 시흥시 은행동 646-10,경기 시흥시 은계번영길 23,031-311-0229,126.80390419,37.43710965,http://place.map.kakao.com/1664009078,카페,은행·은계
만화카페,1114611242,카툰바이커피 시흥본점,"가정,생활 > 여가시설 > 만화방 > 만화카페",CE7,카페,경기 시흥시 대야동 535,경기 시흥시 비둘기공원6길 10,,126.79121785,37.44295532,http://place.map.kakao.com/1114611242,카페,대야·신천
보드게임카페,869547949,더홀릭보드게임카페 시흥능곡점,"가정,생활 > 여가시설 > 보드카페",CE7,카페,경기 시흥시 능곡동 871,경기 시흥시 장현능곡로 155,010-7556-1145,126.80731411,37.37105251,http://place.map.kakao.com/869547949,카페,능곡
보드게임카페,1156521593,레드버튼 정왕점,"가정,생활 > 여가시설 > 보드카페 > 레드버튼",CE7,카페,경기 시흥시 정왕동 1737-6,경기 시흥시 중심상가로 187,031-498-3799,126.73609942,37.34466999,http://place.map.kakao.com/1156521593,카페,정왕
보드게임카페,978302749,스윅스 스페이스 바,"가정,생활 > 여가시설 > 보드카페",CE7,카페,경기 시흥시 정왕동 2703-14,경기 시흥시 거북섬1길 22,031-538-1551,126.67624581,37.32717295,http://place.map.kakao.com/978302749,카페,거북섬
