시설명,소재지지번주소,주변상세설명,관리부서명,데이터기준일자,위도,경도,좌표확인상태,좌표출처
지도공원,경기도 고양시 덕양구 토당동 3-39,능곡고등학교 후문/ 주차장 맞은편,고양시청,20250311,37.6219971,126.8271981,공식 주소 일치,https://www.data.go.kr/data/15012890/standard.do
은빛공원,경기도 고양시 덕양구 화정동 872,놀이터 뒤 트랙 코너,고양시청,20250311,37.6381383,126.8367593,공식 주소 일치,https://www.data.go.kr/data/15012890/standard.do
지도공원,경기도 고양시 덕양구 토당동 3-39,무궁화단지 내,고양시청,20250311,37.6219971,126.8271981,공식 주소 일치,https://www.data.go.kr/data/15012890/standard.do
화정중앙공원,경기도 고양시 덕양구 화정동 985,"트랙 시점 , 앞",고양시청,20250311,37.6309582,126.831811,공식 주소 일치,https://www.data.go.kr/data/15012890/standard.do
서정공원,경기도 고양시 덕양구 행신동 1071,서정중학교 뒤,고양시청,20250311,37.6173583,126.8489586,공식 주소 일치,https://www.data.go.kr/data/15012890/standard.do
서정공원,경기도 고양시 덕양구 행신동 1071,관리사 앞/ 풋살장 옆,고양시청,20250311,37.6173583,126.8489586,공식 주소 일치,https://www.data.go.kr/data/15012890/standard.do
은빛공원,경기도 고양시 덕양구 화정동 872,후문과 운동시설 사이,고양시청,20250311,37.6381383,126.8367593,공식 주소 일치,https://www.data.go.kr/data/15012890/standard.do
향동체육공원,경기도 고양시 덕양구 향동동 588,공중화장실 근처,고양시청,20250311,37.5959551,126.8880494,공식 시설명 일치,https://www.data.go.kr/data/15012890/standard.do
한우물숲길공원,경기도 고양시 덕양구 신원동 665,저류지 관리사 옆 ,고양시청,20250311,37.6594032,126.8881599,주소 지오코딩 일치,https://geocode.arcgis.com/arcgis/rest/services/World/GeocodeServer
오금공원,경기도 고양시 덕양구 오금동 625,야외운동기구 옆,고양시청,20250311,37.6598191,126.9048529,주소 지오코딩 일치,https://geocode.arcgis.com/arcgis/rest/services/World/GeocodeServer
동산꽃맞이공원,경기도 고양시 덕양구 동산동 363,다목적구장 근처 정자 옆,고양시청,20250311,37.6453757,126.8882541,OSM 시설명 일치,https://www.openstreetmap.org/way/469691185
덕수공원,경기도 고양시 덕양구 삼송동 341,공중화장실 근처,고양시청,20250311,37.6455484,126.879266,주소 지오코딩 일치,https://geocode.arcgis.com/arcgis/rest/services/World/GeocodeServer
마상공원,경기도 고양시 덕양구 주교동 313-16,"배수지 가는길, 마상교 옆",고양시청,20250311,37.6601495,126.8330165,공식 주소 일치,https://www.data.go.kr/data/15012890/standard.do
문원체육공원,과천시 문원동 20-2,주통행로 게이트볼장 앞,과천도시공사,20250307,37.4279215,127.0036606,공식 시설명 일치,https://www.data.go.kr/data/15012890/standard.do
관문체육공원,과천시 중앙로 294,광장 시계탑 주변,과천도시공사,20250307,37.4401988,126.9982221,OSM 도로명주소 일치,https://www.openstreetmap.org/node/10693016028
중앙공원,경기도 과천시 별양동 2-5,현충탑 인근 공중화장실 근처(청계초교 건너편),과천시청 ,20250307,37.4323292,126.9966058,공식 시설명 일치,https://www.data.go.kr/data/15012890/standard.do
에어드리공원,경기도 과천시 갈현동677,정보과학도서관 버스정류장 인근(화장실 맞은편),과천시청 ,20250307,37.4187451,126.9897155,공식 주소 일치,https://www.data.go.kr/data/15012890/standard.do
태전2호 근린공원(태전한아람공원),경기도 광주시 태전동 702-12,태전한아람공원,광주시청,20250307,37.3808997,127.2301341,공식 주소 일치,https://www.data.go.kr/data/15012890/standard.do
탄벌쌈지공원,경기도 광주시 탄벌동 714,탄벌쌈지공원,광주시청,20250307,37.4200459,127.2448577,주소 지오코딩 일치,https://geocode.arcgis.com/arcgis/rest/services/World/GeocodeServer
태전1호 근린공원(태전큰별공원),경기도 광주시 태전동 701,태전큰별공원,광주시청,20250307,37.3837899,127.2342604,공식 주소 일치,https://www.data.go.kr/data/15012890/standard.do
고산1호 근린공원,경기도 광주시 고산동 391,고산1호 근린공원,광주시청,20250307,37.3726237,127.2300708,공식 주소 일치,https://www.data.go.kr/data/15012890/standard.do
고산1호 어린이공원,경기도 광주시 고산동 347,고산1호 어린이공원,광주시청,20250307,37.3751072,127.2303921,공식 주소 일치,https://www.data.go.kr/data/15012890/standard.do
중대물빛공원,경기도 광주시 중대동 229,중대물빛공원,광주시청,20250307,37.4005853,127.2201255,공식 시설명 일치,https://www.data.go.kr/data/15012890/standard.do
광주시호국보훈공원,경기도 광주시 경안동 168-1,광주시호국보훈공원,광주시청,20250307,37.4093602,127.2512846,공식 주소 일치,https://www.data.go.kr/data/15012890/standard.do
청석공원,경기도 광주시 경안동 242,청석공원,광주시청,20250307,37.4119921,127.264843,공식 주소 일치,https://www.data.go.kr/data/15012890/standard.do
도람근린공원,경기도 광주시 역동 412,도람근린공원,광주시청,20250307,37.40055,127.2504195,공식 주소 일치,https://www.data.go.kr/data/15012890/standard.do
