시설명,소재지지번주소,주변상세설명,관리부서명,데이터기준일자
지도공원,경기도 고양시 덕양구 토당동 3-39,능곡고등학교 후문/ 주차장 맞은편,고양시청,20250311
은빛공원,경기도 고양시 덕양구 화정동 872,놀이터 뒤 트랙 코너,고양시청,20250311
지도공원,경기도 고양시 덕양구 토당동 3-39,무궁화단지 내,고양시청,20250311
화정중앙공원,경기도 고양시 덕양구 화정동 985,"트랙 시점 , 앞",고양시청,20250311
서정공원,경기도 고양시 덕양구 행신동 1071,서정중학교 뒤,고양시청,20250311
서정공원,경기도 고양시 덕양구 행신동 1071,관리사 앞/ 풋살장 옆,고양시청,20250311
은빛공원,경기도 고양시 덕양구 화정동 872,후문과 운동시설 사이,고양시청,20250311
향동체육공원,경기도 고양시 덕양구 향동동 588,공중화장실 근처,고양시청,20250311
한우물숲길공원,경기도 고양시 덕양구 신원동 665,저류지 관리사 옆 ,고양시청,20250311
오금공원,경기도 고양시 덕양구 오금동 625,야외운동기구 옆,고양시청,20250311
동산꽃맞이공원,경기도 고양시 덕양구 동산동 363,다목적구장 근처 정자 옆,고양시청,20250311
덕수공원,경기도 고양시 덕양구 삼송동 341,공중화장실 근처,고양시청,20250311
마상공원,경기도 고양시 덕양구 주교동 313-16,"배수지 가는길, 마상교 옆",고양시청,20250311
문원체육공원,과천시 문원동 20-2,주통행로 게이트볼장 앞,과천도시공사,20250307
관문체육공원,과천시 중앙로 294,광장 시계탑 주변,과천도시공사,20250307
중앙공원,경기도 과천시 별양동 2-5,현충탑 인근 공중화장실 근처(청계초교 건너편),과천시청 ,20250307
에어드리공원,경기도 과천시 갈현동677,정보과학도서관 버스정류장 인근(화장실 맞은편),과천시청 ,20250307
태전2호 근린공원(태전한아람공원),경기도 광주시 태전동 702-12,태전한아람공원,광주시청,20250307
탄벌쌈지공원,경기도 광주시 탄벌동 714,탄벌쌈지공원,광주시청,20250307
태전1호 근린공원(태전큰별공원),경기도 광주시 태전동 701,태전큰별공원,광주시청,20250307
고산1호 근린공원,경기도 광주시 고산동 391,고산1호 근린공원,광주시청,20250307
고산1호 어린이공원,경기도 광주시 고산동 347,고산1호 어린이공원,광주시청,20250307
중대물빛공원,경기도 광주시 중대동 229,중대물빛공원,광주시청,20250307
광주시호국보훈공원,경기도 광주시 경안동 168-1,광주시호국보훈공원,광주시청,20250307
청석공원,경기도 광주시 경안동 242,청석공원,광주시청,20250307
도람근린공원,경기도 광주시 역동 412,도람근린공원,광주시청,20250307
목현천도시숲,경기도 광주시 경안동 265-1,목현천도시숲,광주시청,20250307
대쌍령리 생태도시숲,경기도 광주시 초월읍 대쌍령리 301-12,대쌍령리 생태도시숲,광주시청,20250307
태전2호 근린공원(태전한아람공원),경기도 광주시 태전동 702-12,태전한아람공원,광주시청,20250307
탄벌쌈지공원,경기도 광주시 탄벌동 714,탄벌쌈지공원,광주시청,20250307
태전1호 근린공원(태전큰별공원),경기도 광주시 태전동 701,태전큰별공원,광주시청,20250307
고산1호 근린공원,경기도 광주시 고산동 391,고산1호 근린공원,광주시청,20250307
고산1호 어린이공원,경기도 광주시 고산동 347,고산1호 어린이공원,광주시청,20250307
중대물빛공원,경기도 광주시 중대동 229,중대물빛공원,광주시청,20250307
광주시호국보훈공원,경기도 광주시 경안동 168-1,광주시호국보훈공원,광주시청,20250307
청석공원,경기도 광주시 경안동 242,청석공원,광주시청,20250307
팔당물안개공원,경기도 광주시 귀여리 596,팔당물안개공원,광주시청,20250307
퇴촌아이누리놀이터,경기도 광주시 도수리 776-6,퇴촌아이누리놀이터,광주시청,20250307
도람근린공원,경기도 광주시 역동 412,도람근린공원,광주시청,20250307
송정지구 3호 소공원,경기도 광주시 송정동 663,송정지구 3호 소공원,광주시청,20250307
목현천도시숲,경기도 광주시 경안동 265-1,목현천도시숲,광주시청,20250307
대쌍령리 생태도시숲,경기도 광주시 초월읍 대쌍령리 301-12,대쌍령리 생태도시숲,광주시청,20250307
팔당물안개공원,경기도 광주시 귀여리 596,팔당물안개공원,광주시청,20250307
퇴촌아이누리놀이터,경기도 광주시 도수리 776-6,퇴촌아이누리놀이터,광주시청,20250307
송정지구 3호 소공원,경기도 광주시 송정동 663,송정지구 3호 소공원,광주시청,20250307
장자호수공원 반려견놀이터,경기 구리시 교문동 537,장자호수공원 반려견놀이터 내,구리시청,20240310
장자호수공원1,수택동878번지,생태체험관 뒤편,구리시청,20240310
갈매협동공원 반려견놀이터,경기 구리시 갈매동 551,갈매협동공원 반려견놀이터 내,구리시청,20240310
왕숙천변 반려견 간이 놀이터,경기 구리시 인창동 248-3,왕숙천변 반려견 간이 놀이터 내,구리시청,20240310
장자호수공원2,수택동878번지,상류화장실 뒤편,구리시청,20240310
인창중앙공원 반려견놀이터,경기 구리시 동구릉로66번길 29,인창중앙공원 반려견놀이터 내,구리시청,20240310
배변봉투함2,경기도 동두천시 생연동 817,신천 산책로 부근,동두천시청,20250304
배변봉투함1,경기도 동두천시 지행동 725-8,메타세쿼이아길 산책로 부근,동두천시청,20250304
중앙공원,경기도 부천시 원미구 중동 1177,,부천시청,20250228
복사골공원,경기도 부천시 원미구 중동 1271,,부천시청,20250228
상동호수공원,경기도 부천시 원미구 상동549,,부천시청,20250228
소사대공원,경기도 부천시 소사구 소사본동 326-1,,부천시청,20250228
소새울공원,경기도 부천시 소사구 소사본동 157,,부천시청,20250228
괴안체육공원,경기도 부천시 소사구 괴안동 262,,부천시청,20250228
버들공원,경기도 부천시 소사구 옥길동 752-1,,부천시청,20250228
용못내공원,경기도 부천시 소사구 옥길동 735,,부천시청,20250228
은데미공원,경기도 부천시 오정구 작동 60-32,,부천시청,20250228
여월체육공원,경기도 부천시 오정구 여월동 317,,부천시청,20250228
267호 소공원,경기도 부천시 원미구 원미동 39-5,,부천시청,20250228
반려견 놀이터,경기도 성남시 분당구 삼평동 638,구숯내교 인근,성남시청,20250310
반려견 놀이터,경기도 성남시 분당구 성남대로 550,중앙공원 야외공연장 인근,성남시청,20250310
반려견 놀이터,경기도 성남시 분당구 율동 산2-1,율동공원 번지점프 앞 놀이터 인근,성남시청,20250310
반려견 놀이터,경기도 성남시 중원구 금광동 2463,황송공원 농구장 인근,성남시청,20250310
반려견 놀이터,경기도 성남시 수정구 수진동 4690-1,수진쉼터 인근,성남시청,20250310
반려견 놀이터,경기도 성남시 분당구 야탑동 555,사송교 인근,성남시청,20250310
반려견 놀이터,경기도 성남시 분당구 정자동 100-3,궁내교 인근,성남시청,20250310
반려견 놀이터,경기도 성남시 분당구 구미동 79,구미 물놀이장 인근,성남시청,20250310
대유평공원,경기도 수원시 정자동 948,어린이 놀이터 주변,수원시청,20250310
대유평공원,경기도 수원시 정자동 948,생태계류 중간,수원시청,20250310
대유평공원,경기도 수원시 정자동 948,111cm 화장실 앞,수원시청,20250310
정자공원,경기도 수원시 정자동 869-1,게이트볼장 주변,수원시청,20250310
정자문화공원,경기도 수원시 장안구 정자동 947,관리실 옆,수원시청,20250310
만석공원,"경기도 수원시 장안구 송죽동, 정자동 일원(정조로 1087)",맹꽁이화장실 주변,수원시청,20250310
만석공원,"경기도 수원시 장안구 송죽동, 정자동 일원(정조로 1087)",교구정화장실 입구,수원시청,20250310
만석공원,"경기도 수원시 장안구 송죽동, 정자동 일원(정조로 1087)",광장~저수지 입구,수원시청,20250310
만석공원,"경기도 수원시 장안구 송죽동, 정자동 일원(정조로 1087)",공원정문 우측,수원시청,20250310
만석공원,"경기도 수원시 장안구 송죽동, 정자동 일원(정조로 1087)",연꽃화장실 앞,수원시청,20250310
광교공원,경기도 수원시 장안구 하광교동 393-2 일원,공원입구~관리실 방향 중간 지점,수원시청,20250310
효원공원,경기도 수원시 팔달구 인계동1117,까지화장실 앞,수원시청,20250310
효원공원,경기도 수원시 팔달구 인계동1117,나혜석거리쪽 입구,수원시청,20250310
효원공원,경기도 수원시 팔달구 인계동1117,육교쪽 입구,수원시청,20250310
예술공원,경기도 수원시 팔달구 인계동1128,야외음악당 동쪽 산책로,수원시청,20250310
예술공원,경기도 수원시 팔달구 인계동1128,야외음악당 서쪽 산책로,수원시청,20250310
청소년문화공원,경기도 수원시 팔달구 인계동349,자연마당,수원시청,20250310
청소년문화공원,경기도 수원시 팔달구 인계동349,신반포아파트쪽 입구,수원시청,20250310
청소년문화공원,경기도 수원시 팔달구 인계동349,수정아파트쪽 입구,수원시청,20250310
청소년문화공원,경기도 수원시 팔달구 인계동349,새천년수영장 뒤 산책로,수원시청,20250310
청소년문화공원,경기도 수원시 팔달구 인계동349,화장실 앞,수원시청,20250310
숙지공원,경기도 수원시 팔달구 화서동264,야외무대 앞,수원시청,20250310
서호공원,경기도 수원시 팔달구 화서동436-1,진입광장,수원시청,20250310
서호공원,경기도 수원시 팔달구 화서동436-1,중앙광장,수원시청,20250310
서호공원,경기도 수원시 팔달구 화서동436-1,잔디광장,수원시청,20250310
광교호수공원,경기도 수원시 영통구 하동 995,광교호수공원 신대호수 북측 수변보행데크2 인근,수원시청,20250310
서호꽃뫼공원,경기도 수원시 팔달구 화서동410-3,국기게양대,수원시청,20250310
광교호수공원,경기도 수원시 영통구 하동 1024,광교호수공원 신비한물너미 인근,수원시청,20250310
광교호수공원,경기도 수원시 영통구 하동 998,광교호수공원 신대호수 남측 산책로,수원시청,20250310
광교호수공원,경기도 수원시 영통구 하동 1000,광교호수공원 신대호수 제방 산책로,수원시청,20250310
광교호수공원,경기도 수원시 영통구 하동 999,광교호수공원 재미난밭,수원시청,20250310
광교호수공원,경기도 수원시 영통구 하동 1023,광교호수공원 어번레비 화장실 인근,수원시청,20250310
광교호수공원,경기도 수원시 영통구 하동 1023,광교호수공원 거울못 인근,수원시청,20250310
효원공원,경기도 수원시 팔달구 인계동1117,월화원 앞,수원시청,20250310
광교호수공원,경기도 수원시 영통구 하동 1024,광교호수공원 제1주차장 앞,수원시청,20250310
매화공원,권선구 금곡동 1122,애견놀이터 내부,수원시청,20250310
세류문화공원,권선구 세류동 503-2,도서관 인근,수원시청,20250310
고렴공원,권선구 곡반정동 546,광장 인근,수원시청,20250310
권선중앙공원,권선구 권선동 1269,"광장 인근, 배드민턴장 인근",수원시청,20250310
올림픽공원,권선구 권선동 1012,"광장 인근, 애견놀이터 인근",수원시청,20250310
마중공원,권선구 권선동 1348,"광장 인근, 애견놀이터 인근, 생태호수 인근",수원시청,20250310
대유평공원,경기도 수원시 정자동 948,공원 입구,수원시청,20250310
산현공원,경기도 시흥시 조남동 670,야외무대 앞,시흥시청,20250310
갯골생태공원1,경기도 시흥시 동서로 287,수상자전거 탑승장 앞,시흥시청,20250310
갯골생태공원2,경기도 시흥시 동서로 287,취사존 앞,시흥시청,20250310
갯골생태공원3,경기도 시흥시 동서로 287,"어린이놀이터, 염전 사이",시흥시청,20250310
목감공원,경기도 시흥시 목감동 398,대형 파고라 옆,시흥시청,20250310
능곡공원,경기도 시흥시 능곡동 489,공원입구 좌측,시흥시청,20250310
승지공원,경기도 시흥시 능곡동 552,파고라 옆,시흥시청,20250310
가래울공원,경기도 시흥시 능곡동 793,수목토 아파트 앞,시흥시청,20250310
실개울공원,경기도 시흥시 능곡동 777,연못 옆,시흥시청,20250310
능골공원,경기도 시흥시 능곡동 781,관리사무실 앞,시흥시청,20250310
산들공원,경기도 시흥시 거모동1352,"화장실 옆, 관리사무소 앞 ",시흥시청,20250310
사랑공원,경기도 시흥시 정왕동 1872-7,한신아파크 311동 부근,시흥시청,20250310
함현어린이공원,경기도 시흥시 정왕동 1878-6,어린이 놀이터 앞 운동기구 근처,시흥시청,20250310
온들녘공원,경기도 시흥시 정왕동 1876-5,공원표지판 근처 운동기구 앞,시흥시청,20250310
서촌공원,경기도 시흥시 정왕동 1848-2,대림아파트7207동 건너편 입구 방향,시흥시청,20250310
어울공원,경기도 시흥시 정왕동 2322-3,시립정왕본동어린이집 건너편,시흥시청,20250310
죽율체육공원,경기도 시흥시 죽율동 610,"푸르지오 104동 건너편 입구에 운동기구 근처,",시흥시청,20250310
함현공원,경기도 시흥시 정왕동 1878-3,공원 정자 근처,시흥시청,20250310
비둘기공원1,경기도 시흥시 은행동 551,관리사무소 옆,시흥시청,20250310
비둘기공원2,경기도 시흥시 은행동 551,배드민턴장 옆,시흥시청,20250310
신천공원1,경기도 시흥시 신천동 57,화장실 옆,시흥시청,20250310
신천공원2,경기도 시흥시 신천동 57,운동기구 옆,시흥시청,20250310
검바위하늘공원1,경기도 시흥시 은행동 654,검바위초 앞 산책로 근처,시흥시청,20250310
검바위하늘공원2,경기도 시흥시 은행동 654,민방위 급수시설 근처,시흥시청,20250310
검바위하늘공원3,경기도 시흥시 은행동 654,운동기구 근처,시흥시청,20250310
은계중앙공원,경기도 시흥시 은행동 56-1,바닥분수 근처,시흥시청,20250310
오난산전망공원,경기도 시흥시 은행동 622,계단입구,시흥시청,20250310
배곧생명공원,경기도 시흥시 배곧동 187,공원 음수대 옆,시흥시청,20250310
두드림공원,경기도 시흥시 배곧동 134,배곧초등학교 앞,시흥시청,20250310
차오름공원,경기도 시흥시 배곧동 149,배곧고등학교 앞,시흥시청,20250310
배곧한울공원1,경기도 시흥시 배곧동 307,주차장 옆,시흥시청,20250310
배곧한울공원2,경기도 시흥시 배곧동 42,주차장 옆(배곧한라비발디캠퍼스 방면),시흥시청,20250310
배곧한울공원3,경기도 시흥시 배곧동 42,제3경인고속화도로 하부,시흥시청,20250310
거북섬동1,경기도 시흥시 정왕동 2738-1,정왕동 2738-1번지 산책로 입구,시흥시청,20250310
거북섬동2,경기도 시흥시 정왕동 2738,정왕동 2738번지 시화나래유치원 인근 산책로,시흥시청,20250310
거북섬동3,경기도 시흥시 정왕동 2799,정왕동 2799번지 전원주택단지 인근 산책로,시흥시청,20250310
거북섬동4,경기도 시흥시 정왕동 2799,정왕동 2799번지 전원주택단지 인근 산책로,시흥시청,20250310
거북섬동5,경기도 시흥시 정왕동 2795,정왕동 2795번지 하늬공원,시흥시청,20250310
원포공원반려견놀이터,경기도 안산시 단원구 초지동 746번지,"대형견, 중소형견 놀이터 안",안산시청,20250310
성곡반려견놀이터,경기도 안산시 단원구 성곡동 696번지,"대형견, 중소형견 놀이터 안",안산시청,20250310
화정천1,경기도 안산시 단원구 와동 879,와동 792-18번지 앞 계단(화정초교 건너편),안산시청,20231229
화정천2,경기도 안산시 단원구 와동 879,선부동 온누리병원 화정5교 계단,안산시청,20231229
화정천3,경기도 안산시 단원구 와동 879,선부동 수정한양A 216동 계단,안산시청,20231229
화정천4,경기도 안산시 단원구 와동 879,와동 820-10번지 화정4교 경사로입구,안산시청,20231229
화정천5,경기도 안산시 단원구 와동 879,와동 828번지 강서고 옆 계단,안산시청,20231229
충훈공원,경기도 안양시 만안구 석수동 626-4,분수대 앞,안양시청 ,20250304
중앙공원,경기도 안양시 동안구 평촌동 895,사무실앞,안양시청 ,20250304
중앙공원,경기도 안양시 동안구 평촌동 895,매점화장실앞,안양시청 ,20250304
중앙공원,경기도 안양시 동안구 평촌동 895,X게임장 ,안양시청 ,20250304
학운공원,경기도 안양시 동안구 비산동 1100,매점,안양시청 ,20250304
자유공원,경기도 안양시 동안구 호계동 1112,놀이터주변,안양시청 ,20250304
자유공원,경기도 안양시 동안구 호계동 1112,지압장,안양시청 ,20250304
자유공원,경기도 안양시 동안구 호계동 1112,입구광장,안양시청 ,20250304
학운공원,경기도 안양시 동안구 비산동 1100,무궁화동산주변,안양시청 ,20250304
병목안시민공원,경기도 안양시 만안구 안양동 산81-1,관리사무소 앞,안양시청 ,20250304
병목안시민공원,경기도 안양시 만안구 안양동 산81-1,잔디광장,안양시청 ,20250304
임곡공원,경기도 안양시 동안구 비산동 299-2,공원입구,안양시청 ,20250304
운곡공원,경기도 안양시 동안구 비산동 249-6,사무실옆,안양시청 ,20250304
운곡공원,경기도 안양시 동안구 비산동 249-6,광장,안양시청 ,20250304
희망공원,경기도 안양시 동안구 호계동 1053,음수대 옆,안양시청 ,20250304
평화공원,경기도 안양시 동안구 비산동 1104-2,화장실 옆,안양시청 ,20250304
평촌공원,경기도 안양시 동안구 관양동 1589-2,화장실 입구,안양시청 ,20250304
평촌공원,경기도 안양시 동안구 관양동 1589-2,사무실 입구,안양시청 ,20250304
호계공원,경기도 안양시 동안구 호계동 176-4,광장입구,안양시청 ,20250304
호계공원,경기도 안양시 동안구 호계동 176-4,테니스장입구,안양시청 ,20250304
삼막애견공원,경기도 안양시 만안구 석수동 18,삼막애견공원 내,안양시청 ,20250304
생태예술공원,경기도 안양시 만안구 석수동 산24-24,수목원입구,안양시청 ,20250304
삼덕공원,경기도 안양시 만안구 안양동 782-19,관리소 앞,안양시청 ,20250304
공원,경기도 양주시 옥정동 908,선돌공원,양주시청,20241231
공원,경기도 양주시 덕계동 467,덕계근린공원,양주시청,20241231
공원,경기도 양주시 광사동 659,하늘물근린공원,양주시청,20241231
공원,경기도 양주시 덕정동 208-12,봉우근린공원,양주시청,20241231
공원,경기도 양주시 옥정동 970-3 일원,옥정중앙공원~회천4동 산책로,양주시청,20241231
공원,경기도 양주시 옥정동 889,"독바위공원(반려견놀이터 앞, 야외무대)",양주시청,20241231
영월근린공원,여주시 상동 132,영월근린공원 화장실 인근,여주시청,20250307
