개방자치단체코드,관리번호,구분명,근거법령명,화장실명,소재지도로명주소,소재지지번주소,남성용-대변기수,남성용-소변기수,남성용-장애인용대변기수,남성용-장애인용소변기수,남성용-어린이용대변기수,남성용-어린이용소변기수,여성용-대변기수,여성용-장애인용대변기수,여성용-어린이용대변기수,관리기관명,전화번호,개방시간,개방시간상세,설치연월,화장실소유구분명,오물처리방식,안전관리시설설치대상여부,비상벨설치여부,비상벨설치장소,화장실입구CCTV설치유무,기저귀교환대유무,기저귀교환대장소,리모델링연월,데이터기준일자,데이터갱신구분,데이터갱신시점,최종수정시점
4010000,202440100000101682,공중화장실,법제3조제5호,85호,경기도 시흥시 거북섬로26(정왕동),경기도 시흥시 정왕동 2726-5,1,3,1,0,0,0,4,1,0,경기도 시흥시 공원과,0313103865,정시,00:00-00:00,202103,공공기관-지방자치단체,수세식,Y,Y,장애인화장실+남자화장실+여자화장실,N,Y,남자화장실+여자화장실,,2024-12-27,I,2026-05-15 18:43:45,2024-12-27 10:50:12
4010000,202440100000101683,공중화장실,법제3조제5호,86호,경기도 시흥시 거북섬로 180(정왕동),경기도 시흥시 정왕동 2738-1,1,1,1,0,0,0,3,1,0,경기도 시흥시 공원과,0313103865,상시,,202103,공공기관-지방자치단체,수세식,Y,Y,장애인화장실+남자화장실+여자화장실,N,Y,남자화장실+여자화장실,,2024-12-27,I,2026-05-15 18:43:45,2024-12-27 10:50:12
4010000,202440100000101684,공중화장실,법제3조제16호-영제3조제1항제4호,ABC행복학습타운,경기도 시흥시 소래산길 11,경기도 시흥시 대야동 332-1,45,83,6,6,0,0,57,6,0,시흥도시공사,0314886855,정시,19:00-18:00,199506,공공기관-지방자치단체,수세식,Y,Y,장애인화장실+남자화장실+여자화장실,Y,Y,남자화장실+여자화장실,,2024-12-27,I,2026-05-15 18:43:45,2024-12-27 10:50:12
4010000,202440100000101687,공중화장실,법제3조제11호,KH에너지(주)주유소,"경기도 시흥시 금오로 269 (과림동, sk범일이엔씨주)",경기도 시흥시 과림동 764-2,1,1,0,0,0,0,2,0,0,개인,0226830051,정시,06:00-23:00,200810,민간,수세식,N,N,,N,N,,,2024-12-27,I,2026-05-15 18:43:45,2024-12-27 10:50:12
4010000,202440100000101689,공중화장실,법제3조제5호,갯골생태공원(인포센터),경기도 시흥시 동서로 287,경기도 시흥시 장곡동 724-32,3,5,1,0,0,0,8,1,0,시흥도시공사,0314806900,상시,,201502,공공기관-지방자치단체,수세식,Y,Y,여자화장실,Y,Y,남자화장실+여자화장실,,2024-12-27,I,2026-05-15 18:43:45,2024-12-27 10:50:12
4010000,202440100000101690,공중화장실,법제3조제5호,갯골생태공원(캠핑장),경기도 시흥시 동서로 137-71,경기도 시흥시 월곶동 520-240,2,3,1,0,0,0,4,1,0,시흥도시공사,0314886999,정시,19:00-18:00,201502,공공기관-지방자치단체,수세식,Y,Y,여자화장실,Y,Y,남자화장실+여자화장실,,2024-12-27,I,2026-05-15 18:43:45,2024-12-27 10:50:12
4010000,202440100000101691,공중화장실,법제3조제5호,갯골생태공원(해수체험장),경기도 시흥시 동서로 287,경기도 시흥시 장곡동 724-32,2,3,0,0,0,0,6,0,0,시흥도시공사,0314806900,상시,,201502,공공기관-지방자치단체,수세식,Y,Y,여자화장실,N,N,,,2024-12-27,I,2026-05-15 18:43:45,2024-12-27 10:50:12
4010000,202440100000101696,개방화장실,법제3조제16호-영제3조제1항제1호,과림동주민센터,"경기도 시흥시 금오로 383 (과림동, 과림동주민센터)",경기도 시흥시 과림동 490-11,1,2,0,1,0,0,1,1,0,경기도 시흥시 주민센터(과림동),0313104663,정시,09:00-18:00,199209,공공기관-지방자치단체,수세식,Y,Y,여자화장실,N,N,,,2024-12-27,I,2026-05-15 18:43:45,2024-12-27 10:50:12
4010000,202440100000101699,개방화장실,법제3조제13호,국민체육센터,경기도 시흥시 하중로 226,경기도 시흥시 하중동 880-1,9,12,1,0,0,0,13,1,0,시흥도시공사,03180810119,정시,09:00-18:00,201501,공공기관-국가공공기관,수세식,N,Y,장애인화장실+여자화장실,Y,Y,남자화장실+여자화장실,,2024-12-27,I,2026-05-15 18:43:45,2024-12-27 10:50:12
4010000,202440100000101700,공중화장실,법제3조제5호,군서공원,"경기도 시흥시 정왕천로369번길 46 (정왕동, 정왕1동 그린경로당)",경기도 시흥시 정왕동 1581,2,3,0,0,0,0,2,0,0,경기도 시흥시 공원과,0313103864,상시,,201702,공공기관-지방자치단체,수세식,N,Y,장애인화장실+여자화장실,Y,N,,,2024-12-27,I,2026-05-15 18:43:45,2024-12-27 10:50:12
