기관명,분류,종별,주소,좌표X,좌표Y,전화번호,출처
도시공원,놀이체험시설,산들공원 산책로 어린이 놀이시설,경기도 시흥시 거모동 1352,126.7807844539,37.3470772801,,경기데이터드림
도시공원,놀이체험시설,산들공원 중앙광장 어린이놀이시설,경기도 시흥시 거모동 1352번지,126.7807844539,37.3470772801,,경기데이터드림
어린이집,놀이체험시설,썸머힐시흥어린이집 놀이터,경기도 시흥시 도일로112번길 12,126.7851086429,37.3403842569,,경기데이터드림
도시공원,놀이체험시설,안골공원 어린이놀이시설,경기도 시흥시 거모동 1715-1번지,126.7857779023,37.349095249,,경기데이터드림
주택단지,놀이체험시설,거모동 유호아파트101동 어린이놀이터,경기도 시흥시 거모동 1715-2번지 유호아파트,126.7864967685,37.3487844084,,경기데이터드림
주택단지,놀이체험시설,거모동 유호아파트103동 어린이놀이터,경기도 시흥시 거모동 1715-2번지 유호아파트,126.7864967685,37.3487844084,,경기데이터드림
어린이집,놀이체험시설,세종어린이집 놀이터,경기도 시흥시 군자로481번길 13,126.7848449364,37.3479541859,,경기데이터드림
도시공원,놀이체험시설,내곡공원 어린이 놀이시설,경기도 시흥시 군자로477번안길 10-4,126.7832510254,37.3481608682,,경기데이터드림
어린이집,놀이체험시설,거모어린이집 놀이터,경기도 시흥시 한우물로 49,126.7828457345,37.3468514236,,경기데이터드림
도시공원,놀이체험시설,한우물공원 어린이놀이시설,경기도 시흥시 거모동 1735-3번지,126.7832592638,37.3450033712,,경기데이터드림
주택단지,놀이체험시설,아주아파트 402동,경기도 시흥시 거모동 1736-1번지 아주4차아파트 402동,126.7828083187,37.3448501523,,경기데이터드림
도시공원,놀이체험시설,석곡공원 어린이 놀이시설,경기도 시흥시 한우물로21번길 30,126.7811460118,37.3439477049,,경기데이터드림
주택단지,놀이체험시설,아주5차아파트 어린이 놀이터,경기도 시흥시 한우물로21번길 20,126.7821938431,37.3441703967,,경기데이터드림
주택단지,놀이체험시설,거모동 보우아파트 놀이터,경기도 시흥시 거모동 1741-1번지 보우아파트,126.7831041537,37.3446085751,,경기데이터드림
어린이집,놀이체험시설,이튼어린이집 놀이터,경기도 시흥시 도일로123번길 23-1,126.7821462348,37.343241695,,경기데이터드림
도시공원,놀이체험시설,거모공원 어린이 놀이시설,경기도 시흥시 군자로466번길 92,126.7843493091,37.3430747685,,경기데이터드림
주택단지,놀이체험시설,녹원아파트 어린이 놀이터(102동),경기도 시흥시 거모동 1765-5번지 녹원아파트,126.788684739,37.3418570224,,경기데이터드림
주택단지,놀이체험시설,녹원아파트 어린이 놀이터(101동),경기도 시흥시 거모동 1765-5번지 녹원아파트,126.788684739,37.3418570224,,경기데이터드림
도시공원,놀이체험시설,태봉공원 어린이 놀이시설,경기도 시흥시 군자로534번안길 6-6,126.7868308112,37.3421162724,,경기데이터드림
도시공원,놀이체험시설,도일어린이놀이시설,경기도 시흥시 군자로534번길 36,126.785833419,37.3401452639,,경기데이터드림
어린이집,놀이체험시설,시립군자어린이집놀이터,경기도 시흥시 도일로92번길 9-12,126.7852286191,37.3396368428,,경기데이터드림
주택단지,놀이체험시설,군자서희스타힐스 유아놀이터(110동),경기도 시흥시 거모동 1859번지 군자서희스타힐스,126.7726252368,37.3635274524,,경기데이터드림
주택단지,놀이체험시설,군자서희스타힐스 어린이놀이터1(102~103동),경기도 시흥시 거모동 1859번지 군자서희스타힐스,126.7726252368,37.3635274524,,경기데이터드림
주택단지,놀이체험시설,군자서희스타힐스 어린이놀이터2(113~114동),경기도 시흥시 거모동 1859번지 군자서희스타힐스,126.7726252368,37.3635274524,,경기데이터드림
주택단지,놀이체험시설,거모 동보아파트 어린이 놀이시설(107동),경기도 시흥시 거모동 612-1번지 동보아파트,126.7745301497,37.358031789,,경기데이터드림
주택단지,놀이체험시설,거모 동보아파트 어린이 놀이시설(101동앞),경기도 시흥시 거모동 612-1번지 동보아파트,126.7745301497,37.358031789,,경기데이터드림
주택단지,놀이체험시설,시흥시청역 동원로얄듀크아파트 103동 어린이놀이터,경기도 시흥시 광석동 271-3,,,,경기데이터드림
주택단지,놀이체험시설,시흥시청역 동원로얄듀크아파트 101동 유아놀이터,경기도 시흥시 광석동 271-3,,,,경기데이터드림
주택단지,놀이체험시설,장현 동원로얄듀크 메트로포레 유아놀이터(어린이집앞),경기도 시흥시 군자동 245-7,,,,경기데이터드림
주택단지,놀이체험시설,장현 동원로얄듀크 메트로포레 어린이놀이터(중앙광장앞),경기도 시흥시 군자동 245-7,,,,경기데이터드림
도시공원,놀이체험시설,시흥장현어린이공원 실외놀이시설,경기도 시흥시 능곡군자1길 105,126.8054519616,37.3673392655,,경기데이터드림
주택단지,놀이체험시설,장현 금강펜테리움아파트 실내놀이시설,경기도 시흥시 장현천로 133,126.8044284028,37.3668915793,,경기데이터드림
주택단지,놀이체험시설,효성해링턴플레이스목감역 어린이놀이터(101동),경기도 시흥시 논곡동 158,,,,경기데이터드림
주택단지,놀이체험시설,시흥 목감 한양수자인아파트 유아놀이터(105동 앞),경기도 시흥시 수인로2421번길 89,126.8596747291,37.3881874846,,경기데이터드림
주택단지,놀이체험시설,시흥 목감 한양수자인아파트 어린이놀이터2(105동 앞),경기도 시흥시 수인로2421번길 89,126.8596747291,37.3881874846,,경기데이터드림
주택단지,놀이체험시설,시흥 목감 한양수자인아파트 어린이놀이터1(104동 앞),경기도 시흥시 수인로2421번길 89,126.8596747291,37.3881874846,,경기데이터드림
주택단지,놀이체험시설,시흥 논곡동 산호아파트 놀이터,경기도 시흥시 논곡동 160-7번지 산호아파트,126.860377682,37.3878848235,,경기데이터드림
어린이집,놀이체험시설,나무어린이집 실외놀이터,경기도 시흥시 수인로2421번길 26,126.8553322265,37.3926887592,,경기데이터드림
주택단지,놀이체험시설,논곡산호2차아파트,경기도 시흥시 논곡동 280번지 산호아파트,126.8556971015,37.3949351537,,경기데이터드림
도시공원,놀이체험시설,목실어린이공원 1호-1놀이터,경기도 시흥시 능곡동 495,126.8132251419,37.3737155983,,경기데이터드림
도시공원,놀이체험시설,목실어린이공원 1호-2놀이터,경기도 시흥시 능곡동 495번지,126.8132251419,37.3737155983,,경기데이터드림
주택단지,놀이체험시설,능곡휴먼시아2단지아파트(206동 205동 사이 놀이터),경기도 시흥시 승지로 87,126.8105161807,37.3717495508,,경기데이터드림
주택단지,놀이체험시설,시흥능곡휴먼시아2단지(204동옆),경기도 시흥시 능곡동 502번지 시흥능곡Humansia아파트,126.8103030093,37.3715950751,,경기데이터드림
주택단지,놀이체험시설,능곡 현진아파트 303동 앞 유아놀이터,경기도 시흥시 능곡동 548번지 현진에버빌아파트,126.8112243673,37.3721142249,,경기데이터드림
주택단지,놀이체험시설,능곡 현진아파트 306동 뒤 어린이놀이터,경기도 시흥시 능곡동 548번지 현진에버빌아파트,126.8112243673,37.3721142249,,경기데이터드림
도시공원,놀이체험시설,승지근린공원3호 놀이터,경기도 시흥시 능곡중앙로 85,126.8131849527,37.3713774904,,경기데이터드림
주택단지,놀이체험시설,자연앤아파트 내 놀이터,경기도 시흥시 능곡동 554번지 시흥능곡자연앤아파트,126.8116476497,37.37028691,,경기데이터드림
주택단지,놀이체험시설,휴먼시아 5단지 어린이놀이터1(502동),경기도 시흥시 능곡동 557번지 휴먼시아,126.8121275587,37.3696767711,,경기데이터드림
주택단지,놀이체험시설,휴먼시아 5단지 어린이놀이터2(506동~507동),경기도 시흥시 능곡동 557번지 휴먼시아,126.8121275587,37.3696767711,,경기데이터드림
어린이집,놀이체험시설,오즈어린이집 놀이터,경기도 시흥시 장현능곡로 219,126.8147120544,37.3686281585,,경기데이터드림
어린이집,놀이체험시설,시립능곡어린이집,경기도 시흥시 능곡로 140,126.8159742425,37.3664361226,,경기데이터드림
주택단지,놀이체험시설,능곡신일해피트리아파트 유아놀이터(1101동앞),경기도 시흥시 능곡동 712번지 시흥능곡신일해피트리아파트,126.8174653553,37.3663906547,,경기데이터드림
주택단지,놀이체험시설,능곡신일해피트리아파트 어린이놀이터2(1105동 앞),경기도 시흥시 능곡동 712번지 시흥능곡신일해피트리아파트,126.8174653553,37.3663906547,,경기데이터드림
주택단지,놀이체험시설,능곡신일해피트리아파트 어린이놀이터1(1107동 앞),경기도 시흥시 능곡동 712번지 시흥능곡신일해피트리아파트,126.8174653553,37.3663906547,,경기데이터드림
도시공원,놀이체험시설,능곡중앙공원 어린이놀이시설,경기도 시흥시 능곡중앙로 50,126.813384172,37.3681066764,,경기데이터드림
주택단지,놀이체험시설,능곡 휴먼시아6단지 제1놀이터,경기도 시흥시 능곡동 768번지 시흥능곡휴먼시아6아파트,126.8087154725,37.3673673988,,경기데이터드림
주택단지,놀이체험시설,능곡 휴먼시아6단지 제2놀이터,경기도 시흥시 능곡동 768번지 시흥능곡휴먼시아6아파트,126.8087154725,37.3673673988,,경기데이터드림
주택단지,놀이체험시설,휴먼시아7단지아파트 707동 앞,경기도 시흥시 능곡동 772번지 시흥능곡휴먼시아7아파트,126.8102423827,37.3671149163,,경기데이터드림
주택단지,놀이체험시설,휴먼시아7단지아파트 709동 뒤,경기도 시흥시 능곡동 772번지 시흥능곡휴먼시아7아파트,126.8102423827,37.3671149163,,경기데이터드림
주택단지,놀이체험시설,시흥 능곡 상록힐스테이트아파트 801동 놀이터,경기도 시흥시 능곡동 775번지 상록힐스테이트아파트,126.8119127126,37.36723281,,경기데이터드림
주택단지,놀이체험시설,시흥 능곡 상록힐스테이트아파트 803동 놀이터,경기도 시흥시 능곡동 775번지 상록힐스테이트아파트,126.8119127126,37.36723281,,경기데이터드림
주택단지,놀이체험시설,시흥 능곡 상록힐스테이트아파트 806동 놀이터,경기도 시흥시 능곡동 775번지 상록힐스테이트아파트,126.8119127126,37.36723281,,경기데이터드림
도시공원,놀이체험시설,실개울어린이공원2호-1놀이터,경기도 시흥시 능곡동 777번지,126.81047546,37.3655989532,,경기데이터드림
도시공원,놀이체험시설,실개울어린이공원2호-2놀이터,경기도 시흥시 능곡동 777번지,126.81047546,37.3655989532,,경기데이터드림
주택단지,놀이체험시설,능곡신안인스빌아파트(나뭇잎놀이터),경기도 시흥시 능곡동 782번지 시흥능곡신안인스빌아파트,126.8088381077,37.3650786365,,경기데이터드림
주택단지,놀이체험시설,능곡신안인스빌아파트(뱃놀이놀이터),경기도 시흥시 능곡동 782번지 시흥능곡신안인스빌아파트,126.8088381077,37.3650786365,,경기데이터드림
주택단지,놀이체험시설,능곡 휴먼시아9단지아파트(908동 옆),경기도 시흥시 능곡동 787번지 시흥능곡휴먼시아9아파트,126.8129152655,37.3662741727,,경기데이터드림
주택단지,놀이체험시설,능곡 휴먼시아9단지아파트(906동 옆),경기도 시흥시 능곡동 787번지 시흥능곡휴먼시아9아파트,126.8129152655,37.3662741727,,경기데이터드림
주택단지,놀이체험시설,엘드수목토아파트 어린이 놀이터(1003~1005사이),경기도 시흥시 능곡동 789번지 시흥능곡엘드수목토아파트,126.8150994829,37.3657640465,,경기데이터드림
주택단지,놀이체험시설,엘드수목토아파트 어린이 놀이터(1005동전면),경기도 시흥시 능곡동 789번지 시흥능곡엘드수목토아파트,126.8150994829,37.3657640465,,경기데이터드림
도시공원,놀이체험시설,가래울어린이공원3호-1놀이터,경기도 시흥시 능곡동 793,126.8138107943,37.3650721711,,경기데이터드림
도시공원,놀이체험시설,가래울어린이공원3호-2놀이터,경기도 시흥시 능곡동 793번지,126.8138107943,37.3650721711,,경기데이터드림
주택단지,놀이체험시설,능곡휴먼시아13단지 아파트 어린이놀이터 1호,경기도 시흥시 능곡동 800번지 시흥능곡휴먼시아13아파트,126.8120817364,37.3648000946,,경기데이터드림
주택단지,놀이체험시설,능곡휴먼시아13단지 아파트 어린이놀이터 2호,경기도 시흥시 능곡동 800번지 시흥능곡휴먼시아13아파트,126.8120817364,37.3648000946,,경기데이터드림
주택단지,놀이체험시설,능곡휴먼시아13단지 아파트 유아놀이터,경기도 시흥시 능곡동 800번지 시흥능곡휴먼시아13아파트,126.8120817364,37.3648000946,,경기데이터드림
주택단지,놀이체험시설,능곡우남퍼스트빌아파트 어린이놀이터1,경기도 시흥시 능곡동 802번지 시흥능곡우남퍼스트빌아파트,126.8141602128,37.3634961646,,경기데이터드림
주택단지,놀이체험시설,능곡우남퍼스트빌아파트 어린이놀이터2,경기도 시흥시 능곡동 802번지 시흥능곡우남퍼스트빌아파트,126.8141602128,37.3634961646,,경기데이터드림
주택단지,놀이체험시설,장현 리슈빌 더스테이 어린이놀이터2(202동 뒤),경기도 시흥시 능곡동 848번지 장현마을2단지,126.8097769491,37.3747738376,,경기데이터드림
