기관명,분류,종별,주소,좌표X,좌표Y,전화번호,출처
밝은안과의원,기타,,경기 시흥시 대은로 79,126.7970772,37.44458555,031-312-8810,카카오
벧엘한방병원,기타,,경기 시흥시 은계중앙로 374,126.79508681942835,37.45092884725283,031-503-3333,카카오
새오름가정의원,기타,,경기 시흥시 비둘기공원7길 83,126.7923411,37.43929378,031-313-9809,카카오
시흥더봄요양병원,기타,,경기 시흥시 비둘기공원1길 7,126.7893406,37.44222938,031-317-9990,카카오
시흥솔요양병원,기타,,경기 시흥시 비둘기공원로 10,126.7907642,37.44395014,031-314-7582,카카오
시흥자인한방병원,기타,,경기 시흥시 비둘기공원7길 33,126.792823,37.4431834,031-404-1075,카카오
시흥정신건강의학과의원,기타,,경기 시흥시 비둘기공원로 8,126.79040685095636,37.444122050104056,031-315-9114,카카오
참잘함한방병원 시흥점,기타,,경기 시흥시 복지로 90,126.7916688,37.44700527,031-312-4100,카카오
효성한방병원,기타,,경기 시흥시 비둘기공원6길 13-1,126.79149668435538,37.44224491,031-315-9977,카카오
희망의원,기타,,경기 시흥시 은행로167번길 6,126.79789482245148,37.445628520537106,031-315-2580,카카오
강남요양병원,기타,,경기 시흥시 수인로3325번길 10,126.78821293856078,37.43819803007183,031-311-0700,카카오
누리한방병원,기타,,경기 시흥시 수인로3325번길 5,126.7890394,37.43844819,031-311-8077,카카오
다온한방병원,기타,,경기 시흥시 삼미시장1길 5,126.7855428739818,37.439768187882464,031-365-5432,카카오
다인안과,기타,,경기 시흥시 수인로 3372,126.784331,37.44113552,031-314-4848,카카오
삼성메디컬의원,기타,,경기 시흥시 수인로3381번길 27,126.7826832,37.43887727,031-365-4325,카카오
성모공감정신건강의학과의원,기타,,경기 시흥시 수인로 3366,126.7849646,37.44086637,031-8042-3535,카카오
시흥미소한방병원,기타,,경기 시흥시 신천3길 5-1,126.78542604341857,37.439922950198074,031-365-4255,카카오
시흥서울안과의원,기타,,경기 시흥시 수인로 3362,126.785485,37.44064747,031-507-1717,카카오
연세안과,기타,,경기 시흥시 수인로 3366,126.78496,37.44089159,031-315-3158,카카오
이화소아과,기타,,경기 시흥시 신천3길 25,126.7834248,37.43875879,031-313-9696,카카오
한사랑정신건강의학과의원,기타,,경기 시흥시 수인로 3362,126.785494,37.4406547,031-314-5830,카카오
더착한365의원,기타,,경기 시흥시 은계중앙로 247,126.8032485,37.44586461,031-365-3333,카카오
봄봄정신건강의학과의원,기타,,경기 시흥시 은계번영길 9,126.8016354,37.43747077,031-311-7588,카카오
삼성새봄안과의원,기타,,경기 시흥시 은계번영길 11,126.80216104026172,37.43740407795659,031-507-0990,카카오
세영한방병원,기타,,경기 시흥시 은행로 154,126.7995934,37.44474211,031-315-5995,카카오
은계이엠365의원,기타,,경기 시흥시 은행고길 28,126.7993283,37.44076369,031-317-9111,카카오
프렌즈의원,기타,,경기 시흥시 수인로 3244,126.7984632,37.43889982,031-314-3377,카카오
하늘빛요양원 1호점,기타,,경기 시흥시 대은로 80,126.7974036,37.44424733,031-313-2280,카카오
엠에스안과 목감점,기타,,경기 시흥시 목감우회로 51,126.86195313694733,37.38225475244204,031-604-1001,카카오
SJ길비뇨기과의원,기타,,경기 시흥시 군자로 502,126.7845468,37.3452601,031-494-7282,카카오
김경범소아과,기타,,경기 시흥시 도일로135번길 4,126.7845319,37.3425714,031-491-5275,카카오
밝은아이안과의원,기타,,경기 시흥시 군자로 502,126.7845514,37.3452529,031-493-7582,카카오
혜민한방병원 시흥점,기타,,경기 시흥시 군자로 526,126.7852242,37.34318536,031-504-7272,카카오
마음한방병원,기타,,경기 시흥시 월곶중앙로14번길 68,126.7417195,37.3921312,031-8042-7584,카카오
한마음요양병원요양원,기타,,경기 시흥시 월곶해안로 97,126.7349085,37.38999783,031-317-6400,카카오
정왕매일의원,기타,,경기 시흥시 마유로418번길 18,126.742914,37.35119221,031-499-3888,카카오
가까운의원,기타,,경기 시흥시 죽율로 38,126.7612644222104,37.34811671570786,031-431-8277,카카오
마음과마음정신건강의학과의원,기타,,경기 시흥시 정왕대로 230,126.73821569097858,37.34493238253858,031-499-4975,카카오
메디월드의원,기타,,경기 시흥시 중심상가2길 12-2,126.7365275,37.34555215,031-499-1447,카카오
베드로요양병원,기타,,경기 시흥시 평안상가5길 19,126.7479394,37.33580176,031-484-2500,카카오
시화베드로요양병원 신관,기타,,경기 시흥시 평안상가5길 20,126.7474699,37.3354917,,카카오
시화한방병원,기타,,경기 시흥시 마유로 320,126.7346026,37.34476215,031-497-7571,카카오
시흥한방병원,기타,,경기 시흥시 중심상가4길 10,126.7382692,37.34447478,031-364-8275,카카오
우리안과의원,기타,,경기 시흥시 정왕대로 220,126.73768558412158,37.34548984521755,031-498-7856,카카오
임 피부비뇨기과의원,기타,,경기 시흥시 정왕대로 220,126.73758404480537,37.345480609756926,031-497-7722,카카오
제일산업의학연구소부설녹색의원,기타,,경기 시흥시 중심상가로 334,126.7489795,37.33623916,031-432-5900,카카오
조안과의원,기타,,경기 시흥시 정왕대로 230,126.73860179100694,37.34489449210546,031-433-7575,카카오
프라임비뇨기과 시화클리닉,기타,,경기 시흥시 정왕대로 230,126.7384836,37.34514201,031-506-3375,카카오
삼성연합의원 금성한의원,기타,,경기 시흥시 옥구천동로 406,126.73054547671832,37.35707180705566,031-496-0712,카카오
대원재활병원,기타,,경기 시흥시 협력로 281,126.7155311,37.3516287,,카카오
대원한방병원,기타,,경기 시흥시 협력로 281,126.7155457864083,37.35163504048078,031-490-2400,카카오
이상순안과의원,기타,,경기 시흥시 정왕대로 74,126.72488972353298,37.353563710690906,031-434-0075,카카오
한울노인병원,기타,,경기 시흥시 정왕대로 74,126.7245723,37.35333141,031-433-8577,카카오
365서울가정의학과의원,기타,,경기 시흥시 배곧1로 27-15,126.7137435,37.36348368,031-319-6429,카카오
경희도담한방병원,기타,,경기 시흥시 서울대학로264번길 26-16,126.7256741,37.36690701,031-313-0312,카카오
배곧바른마디의원,기타,,경기 시흥시 배곧1로 27-16,126.71414139081732,37.36095095771047,031-432-5555,카카오
배곧한방병원,기타,,경기 시흥시 서울대학로264번길 26-32,126.7277253,37.366609,031-431-2119,카카오
에스한방병원,기타,,경기 시흥시 서울대학로264번길 44-4,126.728229,37.367176,1661-3515,카카오
연세베스트의원,기타,,경기 시흥시 서울대학로278번길 19-13,126.72799537979122,37.370279491363554,031-488-9910,카카오
연세조이소아청소년과의원,기타,,경기 시흥시 배곧1로 27-15,126.71372557914393,37.363436778867126,031-364-8375,카카오
열린마음정신건강의학과의원,기타,,경기 시흥시 배곧3로 96,126.73038912150189,37.369856986105766,031-432-8383,카카오
해와별정신건강의학과의원,기타,,경기 시흥시 서울대학로264번길 26-16,126.7256469,37.36694749,031-434-7579,카카오
경기도립노인전문 시흥병원,기타,,경기 시흥시 하중로 285,126.80709231818379,37.386242501283405,031-500-7100,카카오
