기관명,분류,종별,주소,좌표X,좌표Y,전화번호,출처
이연정내과의원,내과,,경기 시흥시 비둘기공원1길 25,126.79128861299185,37.44148409200149,031-313-1900,카카오
최내과의원,내과,,경기 시흥시 복지로 96,126.79183080379453,37.44727225505849,031-315-0875,카카오
시흥내과의원,내과,,경기 시흥시 수인로 3366,126.7849646,37.44086998,031-313-7800,카카오
연세이비인후과 신천,내과,,경기 시흥시 삼미시장1길 13-1,126.7846499,37.44026392,031-313-1991,카카오
우리내과의원,내과,,경기 시흥시 수인로 3362,126.7854804,37.44065828,031-404-4037,카카오
우리이비인후과,내과,,경기 시흥시 수인로 3372,126.78426994252638,37.44114622419234,031-313-2588,카카오
문석준내과의원,내과,,경기 시흥시 대은로 90,126.7984104,37.44470316,031-312-1671,카카오
삼성바른내과의원 시흥,내과,,경기 시흥시 은계번영길 23,126.80411201917732,37.437142429087714,031-311-2479,카카오
숨앤소리이비인후과의원,내과,,경기 시흥시 은계번영길 19,126.8030179,37.43727937,031-507-5123,카카오
신이비인후과의원,내과,,경기 시흥시 대은로 90,126.7983743,37.44467427,031-318-6577,카카오
에코이비인후과의원,내과,,경기 시흥시 은계번영길 11,126.80215986762228,37.43742029425086,031-504-3838,카카오
은계연세이비인후과의원,내과,,경기 시흥시 은계번영길 1,126.80161645768729,37.43652737927039,031-504-3100,카카오
은계코아이비인후과의원,내과,,경기 시흥시 은계번영길 13,126.80257477124171,37.437339896686154,031-506-2772,카카오
은계탑내과의원,내과,,경기 시흥시 은계로 260,126.80313245058645,37.44486969754077,031-509-7577,카카오
은계하나내과의원,내과,,경기 시흥시 은계번영길 19,126.8030405,37.43726499,031-317-2111,카카오
목감마음속내과의원,내과,,경기 시흥시 목감우회로 51,126.86176352047785,37.382213083874106,031-504-4020,카카오
시흥코아이비인후과의원,내과,,경기 시흥시 목감남서로 9-27,126.85343775692978,37.37794752404528,031-411-9111,카카오
심편한내과의원,내과,,경기 시흥시 수풀안길 14-22,126.862008,37.38124837,031-484-7700,카카오
드림내과의원,내과,,경기 시흥시 역전로 292,126.73983084940946,37.352074780892465,031-431-7788,카카오
두리이비인후과의원,내과,,경기 시흥시 정왕대로 220,126.7377189,37.34564129,031-431-7222,카카오
마음속내과의원,내과,,경기 시흥시 정왕대로 230,126.73868994936976,37.34485684371602,031-506-7000,카카오
