기관명,분류,종별,주소,좌표X,좌표Y,전화번호,출처
포우먼산부인과,산부인과,,경기 시흥시 비둘기공원7길 33,126.7927285,37.44302466,031-404-8206,카카오
구본건산부인과의원,산부인과,,경기 시흥시 삼미시장1길 5,126.7855934,37.43987369817641,031-312-7575,카카오
참산부인과의원,산부인과,,경기 시흥시 신천천동로 7,126.78627327757982,37.43921899147376,031-314-6666,카카오
새론산부인과의원,산부인과,,경기 시흥시 은계번영길 23,126.80400793518403,37.437191812338405,031-311-0345,카카오
연세은혜산부인과의원,산부인과,,경기 시흥시 목감남서로 9-19,126.85276516813708,37.377778197139726,031-364-8175,카카오
더클래식산부인과의원,산부인과,,경기 시흥시 중심상가2길 2,126.7357947,37.34596859,031-431-7110,카카오
에덴산부인과의원,산부인과,,경기 시흥시 정왕대로 230,126.73853744467343,37.34489975607478,031-319-5275,카카오
시화박산부인과의원,산부인과,,경기 시흥시 정왕대로 184,126.73441249081151,37.347479218287354,031-319-7861,카카오
예진산부인과의원,산부인과,,경기 시흥시 정왕대로 78,126.7252134,37.3533365,031-431-1134,카카오
리움산부인과의원,산부인과,,경기 시흥시 서울대학로278번길 43-13,126.7301916,37.36922672,031-548-2619,카카오
삼성늘봄산부인과의원,산부인과,,경기 시흥시 황고개로 531,126.7886089,37.37812333,031-504-7575,카카오
한사랑산부인과의원,산부인과,,경기 시흥시 진말로 20,126.78579137130147,37.37910758133358,031-317-8374,카카오
원산부인과의원,산부인과,,경기 시흥시 능곡번영길 24,126.8074386,37.37005978,031-315-7701,카카오
굿모닝온가족의원,산부인과,의원,"경기도 시흥시 평안상가4길 22, 3층 304호 (정왕동)",126.7495874,37.3375173,031-497-2020,HIRA(건강보험심사평가원)
김서경산부인과의원,산부인과,의원,"경기도 시흥시 정왕대로 220, 5층 504호 (정왕동, 우리빌딩)",126.7376709,37.3455123,031-433-6677,HIRA(건강보험심사평가원)
매화가정의학과의원,산부인과,의원,"경기도 시흥시 매화1로 3, (매화동)",126.8147353,37.4156265,031-313-2202,HIRA(건강보험심사평가원)
시흥삼성S비뇨의학과의원,산부인과,의원,"경기도 시흥시 수인로 3362, 태종빌딩 8층 801호 (신천동)",126.7854777,37.440672,031-313-3900,HIRA(건강보험심사평가원)
신천탑비뇨기과의원,산부인과,의원,"경기도 시흥시 수인로 3366, 201호 (신천동, 삼영아트빌)",126.7849548,37.4408913,031-313-8275,HIRA(건강보험심사평가원)
에스제일산부인과의원,산부인과,의원,"경기도 시흥시 능곡군자1길 1, 청솔 프라자 3~4층 (군자동)",126.8074751,37.3686356,031-507-0103,HIRA(건강보험심사평가원)
엘뷰티의원,산부인과,의원,"경기도 시흥시 서울대학로278번길 34, 시흥배곧 아브뉴프랑 센트럴 옐로우 319~322호 (배곧동)",126.7289263,37.3682148,031-496-9120,HIRA(건강보험심사평가원)
유앤아이의원,산부인과,의원,"경기도 시흥시 배곧3로 96, M-플러스 210~211,213호 (배곧동)",126.7300526,37.3698189,031-362-6028,HIRA(건강보험심사평가원)
전지한산부인과의원,산부인과,의원,"경기도 시흥시 배곧3로 96, M-플러스 305호 (배곧동)",126.7300526,37.3698189,031-8042-3042,HIRA(건강보험심사평가원)
중앙산부인과의원,산부인과,의원,"경기도 시흥시 복지로 77, 대야로34, 2층 (대야동)",126.7905176,37.4462574,031-313-3333,HIRA(건강보험심사평가원)
박산부인과,산부인과,hospital,,126.777668,37.43387,,OpenStreetMap
허진숙산부인과,산부인과,doctors,,126.735683,37.345902,,OpenStreetMap
