기관명,분류,종별,주소,좌표X,좌표Y,전화번호,출처
삼성본어스병원,정형외과,,경기 시흥시 은계중앙로306번길 82,126.7947981,37.45112747,1522-5211,카카오
이영화정형외과의원,정형외과,,경기 시흥시 은행로167번길 6,126.7979601,37.44571513,031-316-6114,카카오
정성마취통증의학과의원,정형외과,,경기 시흥시 비둘기공원7길 33,126.7927455,37.44301477,031-312-3601,카카오
혜림정형외과의원,정형외과,,경기 시흥시 비둘기공원7길 83,126.7922777,37.43931529,031-311-6789,카카오
모두탑365정형외과의원 시흥신천점,정형외과,,경기 시흥시 수인로 3366,126.78496230297802,37.44086817166089,031-503-9988,카카오
서광정형외과의원,정형외과,,경기 시흥시 삼미시장1길 13,126.7847959,37.44019571,031-317-8277,카카오
시흥마디튼튼의원,정형외과,,경기 시흥시 수인로3381번길 13,126.7828289,37.44007588,031-435-3000,카카오
신천메트로정형외과의원,정형외과,,경기 시흥시 수인로 3362-1,126.7852994,37.44072642,031-313-5656,카카오
신천역본튼튼의원,정형외과,,경기 시흥시 복지로 3,126.7868781,37.44031482,031-314-4666,카카오
신천탑정형외과의원,정형외과,,경기 시흥시 수인로 3366,126.78496,37.44087718,031-503-9988,카카오
연세일등정형외과의원,정형외과,,경기 시흥시 수인로 3370,126.78463421888199,37.44100182532547,031-317-1119,카카오
바로나정형외과의원,정형외과,,경기 시흥시 은계번영길 19,126.80301017829879,37.43719646082473,031-316-0854,카카오
은계바른정형외과의원,정형외과,,경기 시흥시 은계번영길 9,126.8016252,37.4375095,031-312-8252,카카오
은계성모정형외과의원,정형외과,,경기 시흥시 은계번영길 23,126.8039222,37.43712229,031-503-7575,카카오
건강한정형외과의원,정형외과,,경기 시흥시 목감우회로 51,126.8619939,37.38220614,031-411-7333,카카오
성모날개정형외과의원,정형외과,,경기 시흥시 목감남서로 9-33,126.8533252,37.37833933,031-411-7588,카카오
목감정형외과의원,정형외과,,경기 시흥시 동서로 1106,126.86128878553693,37.38738980633751,031-480-0911,카카오
