기관명,분류,종별,주소,좌표X,좌표Y,전화번호,출처
굿이브닝치과의원,치과,,경기 시흥시 은계중앙로 374,126.7950868,37.45092885,031-506-2875,카카오
김창규치과의원,치과,,경기 시흥시 비둘기공원7길 33,126.79269463921413,37.443017388167696,031-316-2878,카카오
라치과의원,치과,,경기 시흥시 비둘기공원로 8,126.7904633,37.44405863,031-317-7582,카카오
비타민치과의원,치과,,경기 시흥시 복지로 96,126.7918127,37.44727583,031-315-2888,카카오
서울강치과의원,치과,,경기 시흥시 비둘기공원7길 39,126.79243852287021,37.44246282,031-316-7528,카카오
서울이음치과의원,치과,,경기 시흥시 은계로 353,126.79449394557481,37.45034846702754,031-8042-2875,카카오
세화주니어치과의원,치과,,경기 시흥시 대은로 83,126.7975692,37.44486751,031-313-2174,카카오
세화치과의원,치과,,경기 시흥시 대은로 83,126.7975147,37.44495391,031-313-2175,카카오
시카고모아치과,치과,,경기 시흥시 대은로 81,126.7973706,37.44473382,031-313-2275,카카오
시흥본플란트치과의원,치과,,경기 시흥시 복지로 87,126.7909492,37.44692471,031-364-8240,카카오
연세대야s치과의원,치과,,경기 시흥시 복지로 90,126.79166656453303,37.446999859851324,031-401-7878,카카오
연세더바로치과의원,치과,,경기 시흥시 수인로 3330,126.7887813,37.43942262,031-8042-2877,카카오
연세행복치과,치과,,경기 시흥시 대은로 79,126.79705694140941,37.444556681330674,031-315-2804,카카오
예스부부치과,치과,,경기 시흥시 비둘기공원7길 18,126.7930818,37.44442004,031-318-7528,카카오
햇살좋은치과,치과,,경기 시흥시 비둘기공원로 28,126.7918564,37.44292942,031-404-3255,카카오
희망치과의원,치과,,경기 시흥시 은행로167번길 6,126.79798423366793,37.44557822,031-311-9124,카카오
건영치과의원,치과,,경기 시흥시 시흥대로 1121,126.7911718,37.43555071,031-315-0028,카카오
김치과,치과,,경기 시흥시 수인로 3372,126.7844484,37.44116817,,카카오
독일치과의원,치과,,경기 시흥시 삼미시장1길 5,126.7855395046083,37.43976097365971,031-312-0028,카카오
모아치과의원,치과,,경기 시흥시 수인로 3372,126.78443940920957,37.44115824655232,031-317-2275,카카오
바른부부치과의원,치과,,경기 시흥시 삼미시장1길 13-1,126.78464081234524,37.44027832348831,031-313-2828,카카오
삼성현치과의원,치과,,경기 시흥시 신천로 100,126.78698857352624,37.439212173580316,031-312-2880,카카오
새한치과의원,치과,,경기 시흥시 시흥대로1073번길 5,126.7920817068868,37.43174462471905,031-317-2875,카카오
서울안심치과의원,치과,,경기 시흥시 수인로 3350,126.7865802,37.44017012,031-520-2882,카카오
서울치과의원,치과,,경기 시흥시 삼미시장4길 12,126.7834314,37.43961657,031-314-2835,카카오
시흥양심치과의원,치과,,경기 시흥시 삼미시장1길 19,126.7839269,37.44058517,031-311-2870,카카오
시흥치과,치과,,경기 시흥시 삼미시장1길 17,126.7843239,37.44044353,031-314-2828,카카오
신천서울치과의원,치과,,경기 시흥시 신천로80번길 2,126.7862765,37.43727551,031-404-2875,카카오
연세스마일치과,치과,,경기 시흥시 수인로3395번길 14,126.7811285,37.44039081,031-314-8038,카카오
